"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","segment_id","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"305","AMACR","chr5",33710440,33711588,1149,"*",8058465,8058472,"R","chr5:33710440-33711588","7CpGs","1148bp",0.236,0.653,0.416,0.339,0.318,0.0283,"U","chr5:33710440-33711588",296516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","AMACR","chr5",33768263,33768527,265,"*",8058901,8058905,"R","chr5:33768263-33768527","4CpGs","264bp",0.406,0.917,0.51,0.412,0.389,0.0307,"U","chr5:33768263-33768527",239577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","AMACR","chr5",33936357,33936425,69,"*",8060035,8060042,"R","chr5:33936357-33936425","7CpGs","68bp",0.0556,0.52,0.464,0.361,0.329,0.0413,"U","chr5:33936357-33936425",71679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","ANO6","chr12",45518479,45518919,441,"*",18188856,18188865,"R","chr12:45518479-45518919","9CpGs","440bp",0.219,0.697,0.478,0.434,0.417,0.00818,"U","chr12:45518479-45518919",302492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","ARAF","chrX",47501782,47502242,461,"*",28287725,28287729,"R","chrX:47501782-47502242","4CpGs","460bp",0.311,0.647,0.336,0.266,0.258,0.0392,"U","chrX:47501782-47502242",-58963,"ENSG00000078061",1288.85563210113,-0.312155706761454,0.0811200294460908,4.80559307123556e-05,0.000316779335405528,1047.16155724987,1259.17022383492,1467.05773534059,1471.36939980459,1087.75264083354,1322.47128131659,1494.06813995837,1161.79407847055,"protein_coding","A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]"
"513","ARAF","chrX",47529987,47530379,393,"*",28288143,28288151,"R","chrX:47529987-47530379","8CpGs","392bp",0.266,0.671,0.405,0.362,0.358,0.0114,"U","chrX:47529987-47530379",-30826,"ENSG00000078061",1288.85563210113,-0.312155706761454,0.0811200294460908,4.80559307123556e-05,0.000316779335405528,1047.16155724987,1259.17022383492,1467.05773534059,1471.36939980459,1087.75264083354,1322.47128131659,1494.06813995837,1161.79407847055,"protein_coding","A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]"
"618","ARRDC3","chr5",91712527,91713568,1042,"*",8528354,8528358,"R","chr5:91712527-91713568","4CpGs","1041bp",0.389,0.844,0.455,0.426,0.398,0.0146,"U","chr5:91712527-91713568",-329210,"ENSG00000113369",1067.55823452414,-0.741506004362411,0.146728409748727,1.60178992097996e-08,2.00841595443991e-07,865.046503815112,863.398423408543,1790.87888252501,1299.15856181248,716.463378252574,1181.71702798348,1158.89696027189,664.906138123997,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]"
"724","ATP5F1C","chr10",7719151,7720181,1031,"*",15144851,15144864,"R","chr10:7719151-7720181","13CpGs","1030bp",0.358,0.888,0.53,0.498,0.484,0.00372,"U","chr10:7719151-7720181",-67966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725","ATP5MC3","chr2",175647423,175648401,979,"*",3953283,3953290,"R","chr2:175647423-175648401","7CpGs","978bp",0.947,0.583,0.363,0.277,0.267,0.0499,"M","chr2:175647423-175648401",-465713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728","ATP5PO","chr21",34017981,34019944,1964,"*",27017572,27017580,"R","chr21:34017981-34019944","8CpGs","1963bp",0.907,0.586,0.321,0.283,0.257,0.025,"M","chr21:34017981-34019944",-86374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729","ATP5PO","chr21",34045367,34045471,105,"*",27017830,27017835,"R","chr21:34045367-34045471","5CpGs","104bp",0.935,0.5,0.435,0.376,0.368,0.0166,"M","chr21:34045367-34045471",-113760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761","ATXN3L","chrX",13341726,13343704,1979,"*",28003411,28003419,"R","chrX:13341726-13343704","8CpGs","1978bp",0.141,0.594,0.453,0.412,0.399,0.00708,"U","chrX:13341726-13343704",-21673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762","ATXN3L","chrX",13255939,13256603,665,"*",28002661,28002667,"R","chrX:13255939-13256603","6CpGs","664bp",0,0.514,0.514,0.448,0.444,0.0178,"U","chrX:13255939-13256603",63450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763","ATXN3L","chrX",13350199,13351821,1623,"*",28003481,28003498,"R","chrX:13350199-13351821","17CpGs","1622bp",0.237,0.722,0.485,0.379,0.37,0.0466,"U","chrX:13350199-13351821",-30146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","ATXN3L","chrX",13105361,13107041,1681,"*",28001478,28001504,"R","chrX:13105361-13107041","26CpGs","1680bp",0.00806,0.515,0.507,0.433,0.425,0.021,"U","chrX:13105361-13107041",213012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","ATXN3L","chrX",13203558,13204814,1257,"*",28002233,28002249,"R","chrX:13203558-13204814","16CpGs","1256bp",0.372,0.923,0.552,0.506,0.482,0.00879,"U","chrX:13203558-13204814",115239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766","ATXN3L","chrX",13347576,13349097,1522,"*",28003450,28003459,"R","chrX:13347576-13349097","9CpGs","1521bp",0.228,0.801,0.572,0.518,0.493,0.00976,"U","chrX:13347576-13349097",-27523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767","ATXN3L","chrX",13463510,13465185,1676,"*",28004480,28004486,"R","chrX:13463510-13465185","6CpGs","1675bp",0.336,0.833,0.497,0.412,0.378,0.0277,"U","chrX:13463510-13465185",-143457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768","ATXN3L","chrX",13153447,13154945,1499,"*",28001895,28001906,"R","chrX:13153447-13154945","11CpGs","1498bp",0.282,0.776,0.494,0.4,0.37,0.0306,"U","chrX:13153447-13154945",165108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","ATXN3L","chrX",13165387,13167337,1951,"*",28001958,28001978,"R","chrX:13165387-13167337","20CpGs","1950bp",0.238,0.668,0.43,0.361,0.313,0.048,"U","chrX:13165387-13167337",152716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770","ATXN3L","chrX",13509217,13509978,762,"*",28004848,28004853,"R","chrX:13509217-13509978","5CpGs","761bp",0.0385,0.683,0.645,0.587,0.566,0.00744,"U","chrX:13509217-13509978",-189164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771","ATXN3L","chrX",13092153,13093777,1625,"*",28001395,28001413,"R","chrX:13092153-13093777","18CpGs","1624bp",0.436,0.105,0.331,0.28,0.248,0.0383,"M","chrX:13092153-13093777",226276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772","ATXN3L","chrX",13484342,13485858,1517,"*",28004640,28004655,"R","chrX:13484342-13485858","15CpGs","1516bp",0.702,0.0385,0.664,0.586,0.542,0.0186,"M","chrX:13484342-13485858",-164289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773","ATXN3L","chrX",13545903,13547490,1588,"*",28005106,28005117,"R","chrX:13545903-13547490","11CpGs","1587bp",0.309,0.902,0.593,0.47,0.436,0.0352,"U","chrX:13545903-13547490",-225850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796","BACE2","chr21",40790378,40790399,22,"*",27093970,27093973,"R","chr21:40790378-40790399","3CpGs","21bp",0.594,1,0.406,0.403,0.4,0.00021,"U","chr21:40790378-40790399",-377402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797","BACH1","chr21",29756879,29757072,194,"*",26969831,26969835,"R","chr21:29756879-29757072","4CpGs","193bp",0.0556,0.938,0.882,0.795,0.764,0.00887,"U","chr21:29756879-29757072",562732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799","BAK1","chr6",32704201,32704635,435,"*",9676675,9676684,"R","chr6:32704201-32704635","9CpGs","434bp",0.684,0.275,0.408,0.368,0.342,0.0159,"M","chr6:32704201-32704635",875658,"ENSG00000030110",631.003672293151,0.273725514307359,0.0786908679522016,0.000251508099607837,0.00137433665272154,651.838636379295,740.218727598606,567.097948114848,585.516849173175,682.400143153402,549.096263002794,567.139933989267,704.720876933817,"protein_coding","BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]"
"800","BAK1","chr6",33015941,33015989,49,"*",9680079,9680084,"R","chr6:33015941-33015989","5CpGs","48bp",0.413,0.906,0.493,0.39,0.371,0.0372,"U","chr6:33015941-33015989",564304,"ENSG00000030110",631.003672293151,0.273725514307359,0.0786908679522016,0.000251508099607837,0.00137433665272154,651.838636379295,740.218727598606,567.097948114848,585.516849173175,682.400143153402,549.096263002794,567.139933989267,704.720876933817,"protein_coding","BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]"
"917","BID","chr22",17868758,17869085,328,"*",27303290,27303300,"R","chr22:17868758-17869085","10CpGs","327bp",0.492,0.817,0.325,0.284,0.252,0.0369,"U","chr22:17868758-17869085",-93988,"ENSG00000015475",1444.90206596622,0.22188069728025,0.0956811243777033,0.0126349682719935,0.0415336050958399,1405.83937590492,1827.16548784741,1249.25924802111,1255.0725872865,1506.73043255335,1271.42853010788,1504.48306362094,1539.23780238765,"protein_coding","BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]"
"920","BIRC3","chr11",102270170,102270616,447,"*",17436541,17436544,"R","chr11:102270170-102270616","3CpGs","446bp",0.929,0.608,0.321,0.278,0.242,0.0466,"M","chr11:102270170-102270616",-46868,"ENSG00000023445",4.59221305783739,0.67777486715633,0.720640661625069,0.0155898820233315,0.0496953765649344,7.77320350026417,3.42165821694271,1.64376216844884,1.37768670393688,6.8126470198343,0.773375018313795,3.7872449682088,11.1481268667496,"protein_coding","baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]"
"927","BMP2","chr20",6770267,6770310,44,"*",26063946,26063951,"R","chr20:6770267-6770310","5CpGs","43bp",0.358,0.688,0.33,0.282,0.273,0.0181,"U","chr20:6770267-6770310",2581,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"928","BMP2","chr20",7013414,7014261,848,"*",26065799,26065807,"R","chr20:7013414-7014261","8CpGs","847bp",0.75,0.329,0.421,0.388,0.386,0.00674,"M","chr20:7013414-7014261",245728,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"929","BMP2","chr20",7100478,7100964,487,"*",26066230,26066236,"R","chr20:7100478-7100964","6CpGs","486bp",0.917,0.207,0.71,0.661,0.619,0.0136,"M","chr20:7100478-7100964",332792,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"930","BMP2","chr20",7185703,7186513,811,"*",26066814,26066820,"R","chr20:7185703-7186513","6CpGs","810bp",0.967,0.433,0.534,0.476,0.457,0.0104,"M","chr20:7185703-7186513",418017,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"931","BMP2","chr20",7743568,7744209,642,"*",26069928,26069935,"R","chr20:7743568-7744209","7CpGs","641bp",0.881,0.254,0.627,0.537,0.476,0.0365,"M","chr20:7743568-7744209",975882,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"932","BMP2","chr20",6972191,6973157,967,"*",26065554,26065561,"R","chr20:6972191-6973157","7CpGs","966bp",0.61,0.913,0.304,0.276,0.27,0.00731,"U","chr20:6972191-6973157",204505,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"933","BMP2","chr20",6766660,6766793,134,"*",26063676,26063680,"R","chr20:6766660-6766793","4CpGs","133bp",0.364,0.674,0.31,0.262,0.25,0.0205,"U","chr20:6766660-6766793",-893,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"934","BMP2","chr20",7154005,7155949,1945,"*",26066661,26066671,"R","chr20:7154005-7155949","10CpGs","1944bp",0.333,0.848,0.515,0.414,0.363,0.0433,"U","chr20:7154005-7155949",386319,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"935","BMP2","chr20",6701283,6703272,1990,"*",26063176,26063182,"R","chr20:6701283-6703272","6CpGs","1989bp",0.238,0.778,0.54,0.509,0.478,0.0129,"U","chr20:6701283-6703272",-64414,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"936","BMP2","chr20",7732600,7732970,371,"*",26069885,26069892,"R","chr20:7732600-7732970","7CpGs","370bp",0.341,0,0.341,0.337,0.333,0.000452,"M","chr20:7732600-7732970",964914,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"937","BMP2","chr20",6841476,6843441,1966,"*",26064532,26064544,"R","chr20:6841476-6843441","12CpGs","1965bp",0.0357,0.532,0.497,0.38,0.357,0.0456,"U","chr20:6841476-6843441",73790,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"938","BMP2","chr20",6632306,6632819,514,"*",26062706,26062712,"R","chr20:6632306-6632819","6CpGs","513bp",0,0.55,0.55,0.502,0.5,0.00816,"U","chr20:6632306-6632819",-134867,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"939","BMP2","chr20",7350290,7351071,782,"*",26067697,26067705,"R","chr20:7350290-7351071","8CpGs","781bp",0.704,0.252,0.453,0.406,0.385,0.011,"M","chr20:7350290-7351071",582604,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"940","BMP2","chr20",7081848,7083494,1647,"*",26066142,26066153,"R","chr20:7081848-7083494","11CpGs","1646bp",0.483,0.0417,0.441,0.368,0.333,0.0299,"M","chr20:7081848-7083494",314162,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"941","BMP2","chr20",7503091,7503634,544,"*",26068521,26068527,"R","chr20:7503091-7503634","6CpGs","543bp",0.826,0.469,0.358,0.304,0.278,0.0251,"M","chr20:7503091-7503634",735405,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"942","BMP2","chr20",6383551,6384311,761,"*",26061307,26061311,"R","chr20:6383551-6384311","4CpGs","760bp",0.389,0.721,0.332,0.277,0.248,0.0337,"U","chr20:6383551-6384311",-383375,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"943","BMP2","chr20",6663895,6665676,1782,"*",26062899,26062906,"R","chr20:6663895-6665676","7CpGs","1781bp",0.583,0.0667,0.517,0.424,0.39,0.0286,"M","chr20:6663895-6665676",-102010,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"944","BMP2","chr20",7190779,7192369,1591,"*",26066836,26066842,"R","chr20:7190779-7192369","6CpGs","1590bp",0.821,0.33,0.491,0.438,0.425,0.00997,"M","chr20:7190779-7192369",423093,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
"945","BMP2","chr20",6721351,6722023,673,"*",26063359,26063364,"R","chr20:6721351-6722023","5CpGs","672bp",0.5,0.0882,0.412,0.328,0.324,0.043,"M","chr20:6721351-6722023",-45663,"ENSG00000125845",146.411569449968,1.5555396864777,0.154208256199938,1.16569575661154e-25,8.2374777583378e-24,238.748393222399,228.11054779618,84.653751675115,60.6182149732228,212.327498784836,68.8303766299278,75.7448993641759,202.258873153886,"protein_coding","bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]"
