"","annotated_genes","seqnames","start","end","width","strand","segment_id","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","gene_symbol","avg_depth","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","RPMI8226_1_3b","JJN3_1_3b","OPM_4_1","MM1R_1_2","OPM_2_1","OPM_3_3","JJN3_4_2b","OPM_4_3","RPMI8226_4_1b","MM1R_3_1","MM1R_2_2","RPMI8226_2_3b","JJN3_2_2b","JJN3_3_3b","RPMI8226_3_2b","MM1R_4_2","type","description"
"11","ABHD17C","chr15",80525467,80527316,1850,"*","chr15:80525467-80527316",7.99674054807806e-05,7.99674054807806e-05,2.74075966218796e-08,2.32011273312053,0,0.44,-0.44,"U",1.67296221985066e-05,"",2.39,-152368,"ENSG00000136379",760.252268583963,0.673343002851106,0.311512945960277,0.0106962232845597,0.0321575630575372,411.588822516103,1696.23572795168,661.507075028215,449.07836711132,640.057848976316,627.208839580113,564.777280062249,440.265511189716,1250.00826142727,537.77655415271,546.971709521242,1562.69319783677,457.124514993578,517.893024965308,1322.6244441379,478.225117892919,"protein_coding","abhydrolase domain containing 17C, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:26925]"
"12","ABHD17C","chr15",80530060,80531988,1929,"*","chr15:80530060-80531988",7.49375245276852e-05,7.49375245276852e-05,2.41085274925894e-08,2.12724644928334,0,0.5,-0.5,"U",1.67296221985066e-05,"",2.545,-147696,"ENSG00000136379",760.252268583963,0.673343002851106,0.311512945960277,0.0106962232845597,0.0321575630575372,411.588822516103,1696.23572795168,661.507075028215,449.07836711132,640.057848976316,627.208839580113,564.777280062249,440.265511189716,1250.00826142727,537.77655415271,546.971709521242,1562.69319783677,457.124514993578,517.893024965308,1322.6244441379,478.225117892919,"protein_coding","abhydrolase domain containing 17C, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:26925]"
"13","ABHD5","chr3",43674888,43676225,1338,"*","chr3:43674888-43676225",8.57235012022786e-05,8.57235012022786e-05,3.14314935397419e-08,2.54082507235259,0,0.56,-0.56,"U",1.67296221985043e-05,"",2.005,-13883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ABLIM2","chr4",8095811,8095921,111,"*","chr4:8095811-8095921",-7.84814006218963e-05,7.84814006218963e-05,2.60771667326354e-08,2.26313320665268,0.275,0,0.275,"M",-4.27346502951297e-05,"",5.51,62911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ABRA","chr8",106524346,106525878,1533,"*","chr8:106524346-106525878",-9.27336818533565e-05,9.27336818533565e-05,3.74047157444687e-08,2.80962417591163,0.26,0,0.26,"M",-4.27346502951429e-05,"",1.525,244366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ACAD9","chr3",128950466,128950588,123,"*","chr3:128950466-128950588",-7.21994697736882e-05,7.21994697736882e-05,2.30627854162635e-08,2.02225819006398,0.56,1,-0.44,"U",4.27346502951308e-05,"",1.9675,70870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ACADM","chr1",75617203,75617360,158,"*","chr1:75617203-75617360",-9.08159217864118e-05,9.08159217864118e-05,3.76582412142811e-08,2.73608938237434,0.445,1,-0.555,"U",4.2734650295138e-05,"",2.9225,-107071,"ENSG00000117054",2350.47006880672,-0.85100182448176,0.320168808423256,0.00172514107219149,0.00704516052965004,2047.17356395393,902.08501207156,4079.56451675877,2310.89759413038,4608.73337295075,4058.97127363252,2450.87447178876,3874.3364984695,862.265669256332,2046.22071846049,2174.70679689168,981.122717960015,2076.53779680561,2330.92512178263,796.937890608241,2006.16808538636,"protein_coding","acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]"
"18","ACKR1","chr1",159234981,159235306,326,"*","chr1:159234981-159235306",0.0001037499212457,0.0001037499212457,4.57488671728097e-08,3.2320320168285,0,0.55,-0.55,"U",1.67296221985043e-05,"",3.8675,30106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ACKR1","chr1",159335881,159335971,91,"*","chr1:159335881-159335971",8.968481227775e-05,8.968481227775e-05,3.43547774888235e-08,2.69271800051008,0,0.485,-0.485,"U",1.67296221984999e-05,"",5.4725,131006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ACKR1","chr1",159301602,159303251,1650,"*","chr1:159301602-159303251",7.42848191584883e-05,7.42848191584883e-05,2.36952696153463e-08,2.10221904601645,0,0.455,-0.455,"U",1.67296221985043e-05,"",2.9675,96727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ACKR3","chr2",236899464,236899697,234,"*","chr2:236899464-236899697",-7.72493561631835e-05,7.72493561631835e-05,2.51745552676064e-08,2.21589156445678,0.615,1,-0.385,"U",4.27346502951094e-05,"",1.915,331677,"ENSG00000144476",3.52342998581971,3.21826154242145,1.6495752952011,0.00124472240497419,0.00532352502778702,0,25.4479234922911,0,0,0,0,0,0,7.38557318420841,1.90700905727912,0,13.3184079361088,2.38499746953171,0.813018877496558,5.11794975619971,0,"protein_coding","atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]"
"22","ACMSD","chr2",134787553,134789545,1993,"*","chr2:134787553-134789545",8.64435147377744e-05,8.64435147377744e-05,3.19534937749496e-08,2.56843334702121,0,0.47,-0.47,"U",1.67296221985043e-05,"",1.5025,-49071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ACOT11","chr1",54439555,54439751,197,"*","chr1:54439555-54439751",7.2886609369605e-05,7.2886609369605e-05,2.28214786609926e-08,2.04860594293879,0,0.57,-0.57,"U",1.67296221985043e-05,"",3.435,-102506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ACP1","chr2",91151,91185,35,"*","chr2:91151-91185",-8.81247035362935e-05,8.81247035362935e-05,3.53775116309505e-08,2.63289702698158,0.515,1,-0.485,"U",4.27346502951165e-05,"",6.115,-173708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ACP6","chr1",147700363,147700937,575,"*","chr1:147700363-147700937",-0.0001139597558323,0.0001139597558323,5.96581261369608e-08,3.62351898713049,0.51,1,-0.49,"U",4.27346502951481e-05,"",2.145,-29839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ACP7","chr19",39098505,39098556,52,"*","chr19:39098505-39098556",-7.33970436970177e-05,7.33970436970177e-05,2.24310368691781e-08,2.06817809042876,0.545,0,0.545,"M",-4.27346502951429e-05,"",3.9275,14592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ACSL4","chrX",109975949,109977808,1860,"*","chrX:109975949-109977808",9.50910480665196e-05,9.50910480665196e-05,3.85470258145569e-08,2.9000152737161,0,0.51,-0.51,"U",1.67296221985043e-05,"",1.66,-242546,"ENSG00000068366",3105.77132052236,-0.646160274910171,0.212017355383473,0.000887904276337943,0.00399716744342337,1944.08402709943,2349.10659271942,5043.38195039939,3161.01677206558,6168.47830442893,5233.49733254204,2593.2824965609,3435.86798936628,2628.34085693017,2695.55730246403,2794.99248555056,2776.88805467869,2028.04284825846,2313.03870647771,2150.27003328334,2376.49537553288,"protein_coding","acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]"
"28","ACSL6","chr5",132035669,132035683,15,"*","chr5:132035669-132035683",-0.000107597869268,0.000107597869268,5.0954468023707e-08,3.37957814016242,0.65,1,-0.35,"U",4.2734650295144e-05,"",4.375,-23426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ACSL6","chr5",132051954,132051988,35,"*","chr5:132051954-132051988",-8.01611054563747e-05,8.01611054563747e-05,2.89668616975203e-08,2.32753998533993,0.47,1,-0.53,"U",4.27346502951542e-05,"",2.9775,-39711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ACSM6","chr10",95149156,95149364,209,"*","chr10:95149156-95149364",-8.80824845289964e-05,8.80824845289964e-05,3.35287741389313e-08,2.63127817692914,0.375,1,-0.625,"U",4.27346502951368e-05,"",2.81,-44836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ACTBL2","chr5",58336488,58336505,18,"*","chr5:58336488-58336505",-0.0001158444842789,0.0001158444842789,5.92355634565836e-08,3.6957872127488,0.66,1,-0.34,"U",4.27346502951094e-05,"",5.25,-853677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ACTBL2","chr5",58161946,58163224,1279,"*","chr5:58161946-58163224",7.67331126295984e-05,7.67331126295984e-05,2.52629958298393e-08,2.19609666815486,0,0.425,-0.425,"U",1.67296221985066e-05,"",1.935,-679135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ACTBL2","chr5",58266201,58267793,1593,"*","chr5:58266201-58267793",7.24253375501111e-05,7.24253375501111e-05,2.25366474304033e-08,2.03091888781875,0,0.405,-0.405,"U",1.67296221985043e-05,"",2.64,-783390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ACTBL2","chr5",58230056,58231088,1033,"*","chr5:58230056-58231088",7.42848191584883e-05,7.42848191584883e-05,2.36952696153463e-08,2.10221904601645,0,0.455,-0.455,"U",1.67296221985043e-05,"",2.4175,-747245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ACTL7B","chr9",108501145,108501164,20,"*","chr9:108501145-108501164",-8.80824845289964e-05,8.80824845289964e-05,3.35287741389313e-08,2.63127817692914,0.375,1,-0.625,"U",4.27346502951368e-05,"",1.25,354822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","ACTL7B","chr9",108530908,108530949,42,"*","chr9:108530908-108530949",-8.26739897746572e-05,8.26739897746572e-05,3.09351330951649e-08,2.42389428570993,0.43,1,-0.57,"U",4.27346502951165e-05,"",4.855,325037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ACTL7B","chr9",108131834,108132899,1066,"*","chr9:108131834-108132899",-7.43390559283343e-05,7.43390559283343e-05,2.459985876099e-08,2.10429870641897,0.15,0.4,-0.25,"U",4.27346502951236e-05,"",1.4525,723087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ACTN2","chr1",236759971,236760017,47,"*","chr1:236759971-236760017",-7.75659322517871e-05,7.75659322517871e-05,2.69869363176801e-08,2.22803039126601,0.69,1,-0.31,"U",4.27346502951359e-05,"",2.55,95830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ACTR3","chr2",114186575,114188512,1938,"*","chr2:114186575-114188512",7.42848191584883e-05,7.42848191584883e-05,2.36952696153463e-08,2.10221904601645,0,0.455,-0.455,"U",1.67296221985043e-05,"",2.5875,296512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ACTRT2","chr1",2811691,2811736,46,"*","chr1:2811691-2811736",-0.0001762149908293,0.0001762149908293,1.36444067165312e-07,6.01064026003056,0.435,0,0.435,"M",-4.27346502951429e-05,"",5.5775,-209731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ACTRT2","chr1",2895286,2896668,1383,"*","chr1:2895286-2896668",-9.88495642989669e-05,9.88495642989669e-05,4.27653020619867e-08,3.04413221510171,0.355,0,0.355,"M",-4.27346502951297e-05,"",1.9925,-124799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ACTRT2","chr1",2790156,2790210,55,"*","chr1:2790156-2790210",-0.0001373321904781,0.0001373321904781,8.33719200036315e-08,4.5197140773131,0.565,0.14,0.425,"M",-4.27346502951356e-05,"",6.425,-231257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ACTRT2","chr1",2628479,2628557,79,"*","chr1:2628479-2628557",-0.0001370472865557,0.0001370472865557,8.30277116186419e-08,4.50878969137515,0.495,0,0.495,"M",-4.27346502951237e-05,"",5.0725,-392910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","ACTRT2","chr1",2803089,2803658,570,"*","chr1:2803089-2803658",-0.0001353384225442,0.0001353384225442,8.09767768065417e-08,4.44326483013732,0.455,0,0.455,"M",-4.27346502951297e-05,"",4.4,-217809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","ACTRT2","chr1",2476972,2477753,782,"*","chr1:2476972-2477753",-0.0001024625345827,0.0001024625345827,4.60729949747223e-08,3.18266832733789,0.365,0,0.365,"M",-4.27346502951237e-05,"",3.75,-543714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","ACTRT2","chr1",2466740,2466793,54,"*","chr1:2466740-2466793",-8.3457391231779e-05,8.3457391231779e-05,2.98467378514464e-08,2.45393311350658,0.48,0,0.48,"M",-4.2734650295144e-05,"",3.2775,-554674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","ACTRT2","chr1",2821353,2821382,30,"*","chr1:2821353-2821382",-8.25358716227695e-05,8.25358716227695e-05,2.9133633884148e-08,2.41859826877962,0.595,0,0.595,"M",-4.2734650295138e-05,"",4.425,-200085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","ACTRT2","chr1",2814065,2814279,215,"*","chr1:2814065-2814279",-9.42892473834945e-05,9.42892473834945e-05,3.87397280424828e-08,2.8692709440679,0.395,0,0.395,"M",-4.2734650295144e-05,"",7.2625,-207188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ACTRT2","chr1",2579188,2579236,49,"*","chr1:2579188-2579236",-7.5825894761302e-05,7.5825894761302e-05,2.56894495669514e-08,2.16131021087671,0.33,0,0.33,"M",-4.2734650295144e-05,"",4.115,-442231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ACTRT2","chr1",2604090,2604120,31,"*","chr1:2604090-2604120",-8.38766677120627e-05,8.38766677120627e-05,3.0173445646098e-08,2.47000989492681,0.53,0,0.53,"M",-4.27346502951285e-05,"",4.8,-417347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ACTRT2","chr1",3011970,3012401,432,"*","chr1:3011970-3012401",-8.17828320447313e-05,8.17828320447313e-05,2.8555969019231e-08,2.38972364006516,0.26,0,0.26,"M",-4.27346502951237e-05,"",4.3025,-9066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","ACTRT2","chr1",2855114,2855403,290,"*","chr1:2855114-2855403",-8.37456170660282e-05,8.37456170660282e-05,3.00711769752906e-08,2.46498487518363,0.385,0,0.385,"M",-4.27346502951297e-05,"",3.305,-166064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ADAD2","chr16",84209703,84210279,577,"*","chr16:84209703-84210279",-9.5847197416046e-05,9.5847197416046e-05,4.00962384968921e-08,2.92900914383529,0.32,0,0.32,"M",-4.27346502951297e-05,"",3.8675,18565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","ADAM12","chr10",125970620,125970675,56,"*","chr10:125970620-125970675",-0.0001944568387745,0.0001944568387745,1.65512950789215e-07,6.71010759460859,0.48,1,-0.52,"U",4.27346502951226e-05,"",4,417802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","ADAM28","chr8",23903524,23903538,15,"*","chr8:23903524-23903538",-7.24919018388927e-05,7.24919018388927e-05,2.18037359940767e-08,2.03347123590279,0.46,1,-0.54,"U",4.27346502951491e-05,"",2.1625,-390531,"ENSG00000042980",495.0974511729,1.95689725583845,0.500537199066601,2.89511532993519e-06,2.52637460921104e-05,1250.92229048819,469.470312702612,71.5142783814287,238.732097913311,57.0348578295728,93.0081549187239,1058.35054773843,48.5190563351932,388.665788818968,338.494107667043,323.734761810012,431.738390595527,1345.13857281588,1014.6475591157,530.073367606399,261.515074029397,"protein_coding","ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:HGNC:206]"
"56","ADAM33","chr20",3671968,3672372,405,"*","chr20:3671968-3672372",-8.80824845289695e-05,8.80824845289695e-05,3.35287741389107e-08,2.6312781769281,0.275,0,0.275,"M",-4.27346502951237e-05,"",4.7025,9874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ADAM7","chr8",24541387,24543370,1984,"*","chr8:24541387-24543370",7.67331126295989e-05,7.67331126295989e-05,2.5262995829839e-08,2.19609666815488,0,0.51,-0.51,"U",1.67296221985043e-05,"",2.9725,100457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ADAMTS15","chr11",130525058,130525078,21,"*","chr11:130525058-130525078",-8.49665491536429e-05,8.49665491536429e-05,3.27747281010125e-08,2.51180042345439,0.39,1,-0.61,"U",4.27346502951105e-05,"",4.4375,76413,"ENSG00000166106",81.4238323045685,-1.80357162570923,1.10181793978014,0.00501151958074484,0.0172026884092831,35.3889454873659,0,95.0814837571267,192.878066911669,133.873485738858,95.3929794038194,38.8385522105845,59.3010688541251,0,153.514229110969,192.758102451763,0,62.0099342078245,32.5207550998623,0,211.223713639129,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 15 [Source:HGNC Symbol;Acc:HGNC:16305]"
"59","ADAMTS16","chr5",5224352,5224439,88,"*","chr5:5224352-5224439",-8.80824845289964e-05,8.80824845289964e-05,3.35287741389313e-08,2.63127817692914,0.375,1,-0.625,"U",4.27346502951368e-05,"",2.385,84022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ADAMTS17","chr15",100214812,100214842,31,"*","chr15:100214812-100214842",-9.2511659495247e-05,9.2511659495247e-05,3.72157552389962e-08,2.80111092728076,0.335,0.88,-0.545,"U",4.27346502951094e-05,"",2.21,127163,"ENSG00000140470",376.898675817276,4.21643204079153,0.689928352814514,1.51197141060611e-10,2.84230860861783e-09,1384.01549851677,75.4662558736908,23.5672053756981,45.8540310016421,13.4665636542047,19.0785958807639,1228.26921365973,7.18800834595455,75.7021251381362,53.3962536038152,48.6014019002308,130.96434470507,1419.07349437137,1373.18888409169,76.7692463429957,55.7776906146617,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109]"
"61","ADAMTS17","chr15",99760471,99760959,489,"*","chr15:99760471-99760959",-8.18137928402534e-05,8.18137928402534e-05,3.02557012885426e-08,2.39091080406221,0.65,1,-0.35,"U",4.27346502951368e-05,"",4.33,581046,"ENSG00000140470",376.898675817276,4.21643204079153,0.689928352814514,1.51197141060611e-10,2.84230860861783e-09,1384.01549851677,75.4662558736908,23.5672053756981,45.8540310016421,13.4665636542047,19.0785958807639,1228.26921365973,7.18800834595455,75.7021251381362,53.3962536038152,48.6014019002308,130.96434470507,1419.07349437137,1373.18888409169,76.7692463429957,55.7776906146617,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109]"
"62","ADAMTS18","chr16",77661224,77662945,1722,"*","chr16:77661224-77662945",7.88060621887526e-05,7.88060621887526e-05,2.66278944907457e-08,2.27558206388971,0,0.565,-0.565,"U",1.67296221985043e-05,"",2.66,-226190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
