"","annotated_genes","seqnames","start","end","width","strand","segment_id","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","gene_symbol","avg_depth","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"18","AVPR1A","chr12",63002671,63002691,21,"*","chr12:63002671-63002691",-0.000159001393138502,0.000159001393138502,1.11052325212479e-07,2.15234042166102,0.33,0,0.33,"M",-5.983792181587e-05,"",3.4,148510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","BCHE","chr3",165989881,165991815,1935,"*","chr3:165989881-165991815",-0.000227144847340638,0.000227144847340638,2.26637398392663e-07,3.30686034836702,0.56,0,0.56,"M",-5.98379218158588e-05,"",3.1375,-152419,"ENSG00000114200",194.696553016732,0.364115441790771,0.131579614516566,0.00158000982208098,0.0069511343974312,239.858850865294,193.893965626753,165.198097929108,179.099271511795,246.390733884007,178.649629230487,141.074875065778,213.407000020636,"protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"20","BCHE","chr3",166124031,166125903,1873,"*","chr3:166124031-166125903",-0.00017380511778792,0.00017380511778792,1.33000391166175e-07,2.40315240789413,0.635,0.12,0.515,"M",-5.9837921815879e-05,"",3.535,-286569,"ENSG00000114200",194.696553016732,0.364115441790771,0.131579614516566,0.00158000982208098,0.0069511343974312,239.858850865294,193.893965626753,165.198097929108,179.099271511795,246.390733884007,178.649629230487,141.074875065778,213.407000020636,"protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"21","BCHE","chr3",165981674,165982480,807,"*","chr3:165981674-165982480",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",2.43,-144212,"ENSG00000114200",194.696553016732,0.364115441790771,0.131579614516566,0.00158000982208098,0.0069511343974312,239.858850865294,193.893965626753,165.198097929108,179.099271511795,246.390733884007,178.649629230487,141.074875065778,213.407000020636,"protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"22","BCHE","chr3",166768277,166770126,1850,"*","chr3:166768277-166770126",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",3.035,-930815,"ENSG00000114200",194.696553016732,0.364115441790771,0.131579614516566,0.00158000982208098,0.0069511343974312,239.858850865294,193.893965626753,165.198097929108,179.099271511795,246.390733884007,178.649629230487,141.074875065778,213.407000020636,"protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"23","BCHE","chr3",166489067,166489100,34,"*","chr3:166489067-166489100",0.000171870625226059,0.000171870625226059,1.33784570360574e-07,2.37037728316817,1,0.555,0.445,"M",-6.86826474003091e-05,"",3.865,-651605,"ENSG00000114200",194.696553016732,0.364115441790771,0.131579614516566,0.00158000982208098,0.0069511343974312,239.858850865294,193.893965626753,165.198097929108,179.099271511795,246.390733884007,178.649629230487,141.074875065778,213.407000020636,"protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"24","BCHE","chr3",165840375,165842074,1700,"*","chr3:165840375-165842074",-0.000235065688021073,0.000235065688021073,2.42484720932752e-07,3.44105912811629,0.535,0,0.535,"M",-5.983792181587e-05,"",2.9575,-2913,"ENSG00000114200",194.696553016732,0.364115441790771,0.131579614516566,0.00158000982208098,0.0069511343974312,239.858850865294,193.893965626753,165.198097929108,179.099271511795,246.390733884007,178.649629230487,141.074875065778,213.407000020636,"protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"25","BCHE","chr3",166043450,166045308,1859,"*","chr3:166043450-166045308",-0.000299154035127821,0.000299154035127821,3.89175119709882e-07,4.52687543535703,0.555,0,0.555,"M",-5.983792181587e-05,"",3.2375,-205988,"ENSG00000114200",194.696553016732,0.364115441790771,0.131579614516566,0.00158000982208098,0.0069511343974312,239.858850865294,193.893965626753,165.198097929108,179.099271511795,246.390733884007,178.649629230487,141.074875065778,213.407000020636,"protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"26","BCHE","chr3",166321251,166322566,1316,"*","chr3:166321251-166322566",-0.000208874487287206,0.000208874487287206,1.91998973867727e-07,2.99731491958365,0.56,0,0.56,"M",-5.9837921815879e-05,"",5.115,-483789,"ENSG00000114200",194.696553016732,0.364115441790771,0.131579614516566,0.00158000982208098,0.0069511343974312,239.858850865294,193.893965626753,165.198097929108,179.099271511795,246.390733884007,178.649629230487,141.074875065778,213.407000020636,"protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"27","BCHE","chr3",166753030,166755012,1983,"*","chr3:166753030-166755012",-0.000214904250638867,0.000214904250638867,2.03135249787598e-07,3.09947413684557,0.535,0,0.535,"M",-5.98379218158588e-05,"",3.3,-915568,"ENSG00000114200",194.696553016732,0.364115441790771,0.131579614516566,0.00158000982208098,0.0069511343974312,239.858850865294,193.893965626753,165.198097929108,179.099271511795,246.390733884007,178.649629230487,141.074875065778,213.407000020636,"protein_coding","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"28","BCL6","chr3",187977709,187979231,1523,"*","chr3:187977709-187979231",-0.000299154035127821,0.000299154035127821,3.89175119709882e-07,4.52687543535703,0.555,0,0.555,"M",-5.983792181587e-05,"",3.115,-231984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","BCL6","chr3",187721873,187723428,1556,"*","chr3:187721873-187723428",-0.000258079174904688,0.000258079174904688,2.91377184052003e-07,3.83096494520779,0.655,0.21,0.445,"M",-5.983792181587e-05,"",3.15,22297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","BCL6","chr3",187775275,187777254,1980,"*","chr3:187775275-187777254",-0.000232047232132855,0.000232047232132855,2.36386434946074e-07,3.38991896342059,0.57,0,0.57,"M",-5.98379218158588e-05,"",1.9025,-29550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","BEND2","chrX",18186286,18187096,811,"*","chrX:18186286-18187096",-0.000165144159800339,0.000165144159800339,1.19946481386634e-07,2.25641419659998,0.74,0.4,0.34,"M",-5.98379218158904e-05,"",3.2025,33790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BPNT2","chr8",57188587,57188790,204,"*","chr8:57188587-57188790",0.00021683473233863,0.00021683473233863,2.09975657302158e-07,3.13218130757259,0.8,0.4,0.4,"M",-6.86826474003228e-05,"",3.03,-194720,"ENSG00000104331",3801.50412686796,-0.258991026474965,0.0535878279381143,7.39061379020731e-07,7.00156326463902e-06,3427.9827436165,3479.82640663073,4009.95780993093,4269.4510955004,3443.79306852624,4062.53897120237,4277.69319159184,3440.78972794466,"protein_coding","3(2), 5-bisphosphate nucleotidase 2 [Source:HGNC Symbol;Acc:HGNC:26019]"
"33","C9orf57","chr9",72004005,72004322,318,"*","chr9:72004005-72004322",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",2.7575,68399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CADM2","chr3",84209947,84211899,1953,"*","chr3:84209947-84211899",-0.000299154035127821,0.000299154035127821,3.89175119709882e-07,4.52687543535703,0.555,0,0.555,"M",-5.983792181587e-05,"",1.9625,-747090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","CADM2","chr3",84181946,84183682,1737,"*","chr3:84181946-84183682",-0.000245639218575856,0.000245639218575856,2.6442194006976e-07,3.62020108480255,0.555,0,0.555,"M",-5.983792181587e-05,"",3.4,-775307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CADM2","chr3",84005932,84007595,1664,"*","chr3:84005932-84007595",-0.000227144847340717,0.000227144847340717,2.26637398392814e-07,3.30686034836836,0.48,0,0.48,"M",-5.983792181587e-05,"",2.6025,-951394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","CALB1","chr8",90406571,90408379,1809,"*","chr8:90406571-90408379",-0.000150580158644023,0.000150580158644023,9.93506175647177e-08,2.00966372372758,0.655,1,-0.345,"U",5.98379218159105e-05,"",3.81,-311096,"ENSG00000104327",80.8499751596265,0.490174786794946,0.185732366814594,0.00102585535769218,0.00476807302534142,117.708510146857,99.2280882913385,59.9973191483825,59.2405282692859,81.7517642380116,70.3771266665554,65.3299757016017,93.1664888149792,"protein_coding","calbindin 1 [Source:HGNC Symbol;Acc:HGNC:1434]"
"38","CAPN6","chrX",111287119,111288509,1391,"*","chrX:111287119-111288509",-0.000166195571078806,0.000166195571078806,1.27434059398491e-07,2.27422772375921,0.595,1,-0.405,"U",5.98379218158554e-05,"",2.655,-16636,"ENSG00000077274",709.573559946894,1.29145189608276,0.108758458903732,1.93615000272082e-34,2.16092621548304e-32,958.324945818282,880.506714493257,369.846487900988,461.525045818855,1088.88808200352,385.14075912027,417.54375774502,1114.81268667496,"protein_coding","calpain 6 [Source:HGNC Symbol;Acc:HGNC:1483]"
"39","CASR","chr3",122098661,122099529,869,"*","chr3:122098661-122099529",-0.00017781218361032,0.00017781218361032,1.39243219056648e-07,2.4710420884768,0.59,0,0.59,"M",-5.983792181587e-05,"",2.3975,-84139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","CCDC50","chr3",191201775,191203745,1971,"*","chr3:191201775-191203745",-0.000207571599497011,0.000207571599497011,1.89630934187542e-07,2.97524075363985,0.58,0.06,0.52,"M",-5.98379218158992e-05,"",2.7925,-125340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","CCR1","chr3",46218517,46220170,1654,"*","chr3:46218517-46220170",-0.000215719558739118,0.000215719558739118,2.04663369275231e-07,3.11328748780006,0.575,0,0.575,"M",-5.983792181587e-05,"",2.9675,-10204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","CCR2","chr3",46218517,46220170,1654,"*","chr3:46218517-46220170",-0.000215719558739118,0.000215719558739118,2.04663369275231e-07,3.11328748780006,0.575,0,0.575,"M",-5.983792181587e-05,"",2.9675,-133694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","CCR8","chr3",39303401,39304384,984,"*","chr3:39303401-39304384",-0.000159001393138556,0.000159001393138556,1.11052325212557e-07,2.15234042166193,0.68,0.2,0.48,"M",-5.98379218158992e-05,"",2.0825,-25325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","CD2","chr1",116746056,116746126,71,"*","chr1:116746056-116746126",0.000152531822212845,0.000152531822212845,1.04808313810673e-07,2.04272976810137,0,0.405,-0.405,"U",6.86826474002436e-05,"",4.6925,-8304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CD83","chr6",14577422,14578304,883,"*","chr6:14577422-14578304",-0.000171080434909425,0.000171080434909425,1.2882892298859e-07,2.35698949006131,0.555,1,-0.445,"U",5.98379218159148e-05,"",3.1925,460166,"ENSG00000112149",165.386212550471,0.593723530503315,0.133373648066548,5.52006935019533e-07,5.37235791361638e-06,184.33596872055,206.440045755543,133.144735644356,135.013296985814,220.275586974642,121.419877875266,124.97908395089,197.481104496708,"protein_coding","CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]"
"46","CD86","chr3",122098661,122099529,869,"*","chr3:122098661-122099529",-0.00017781218361032,0.00017781218361032,1.39243219056648e-07,2.4710420884768,0.59,0,0.59,"M",-5.983792181587e-05,"",2.3975,43299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CD8B2","chr2",106708159,106709396,1238,"*","chr2:106708159-106709396",0.000159761460370428,0.000159761460370428,1.15290926724716e-07,2.16521785464661,1,0.4,0.6,"M",-6.86826474003091e-05,"",2.7225,220795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","CDH12","chr5",23262541,23262558,18,"*","chr5:23262541-23262558",0.000300821329905507,0.000300821329905507,4.03453553400985e-07,4.55512356376597,1,0.445,0.555,"M",-6.86826474002319e-05,"",2.72,-409197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","CDH2","chr18",27993943,27994233,291,"*","chr18:27993943-27994233",-0.000174383379458134,0.000174383379458134,1.33893355464722e-07,2.41294960160743,0.645,1,-0.355,"U",5.98379218158545e-05,"",3.6425,183713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","CELF2","chr10",11318168,11318423,256,"*","chr10:11318168-11318423",-0.000153383778923777,0.000153383778923777,1.03183262750845e-07,2.0571640378486,0.48,0.83,-0.35,"U",5.98379218158622e-05,"",2.7225,519771,"ENSG00000048740",40.1565231699289,2.22555290563185,0.312299684853654,5.85223949377718e-14,1.50234440311624e-12,76.6215773597468,67.2926115998732,9.04069192646859,13.7768670393688,45.4176467988953,17.0142504029035,13.2553573887308,78.8331828434439,"protein_coding","CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]"
"51","CENPW","chr6",126719885,126720912,1028,"*","chr6:126719885-126720912",-0.000151226826175819,0.000151226826175819,1.00229043732043e-07,2.02061988320252,0.375,0,0.375,"M",-5.983792181587e-05,"",3.7225,379770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","CEP104","chr1",3857887,3857953,67,"*","chr1:3857887-3857953",-0.000172754365384287,0.000172754365384287,1.37553477734574e-07,2.38535004371648,0.47,0.09,0.38,"M",-5.98379218158879e-05,"CEP104",5.2325,-491,"ENSG00000116198",1525.15707371297,-0.447701156500055,0.0749407960173456,3.74465262735751e-10,6.01480491503595e-09,1291.46223868675,1208.98590331976,1905.94223431642,1752.41748740771,1258.0688163294,1785.72291728655,1641.77069371851,1356.88629863867,"protein_coding","centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]"
"53","CEP15","chr3",62241236,62241467,232,"*","chr3:62241236-62241467",-0.000330584860866167,0.000330584860866167,4.73129156041074e-07,5.05939194853675,0.55,0,0.55,"M",-5.983792181587e-05,"",2.4525,-77548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CEP162","chr6",84220525,84221259,735,"*","chr6:84220525-84221259",-0.000201468568792816,0.000201468568792816,1.7871942352667e-07,2.87184020484478,0.565,1,-0.435,"U",5.98379218158927e-05,"",3.995,6384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","CFAP20DC","chr3",59857634,59857934,301,"*","chr3:59857634-59857934",-0.000159001393138502,0.000159001393138502,1.11052325212479e-07,2.15234042166102,0.6,0,0.6,"M",-5.983792181587e-05,"",3.715,-807550,"ENSG00000163689",223.169311200913,0.362399426207926,0.114935425133824,0.000463531196608741,0.00236448190816208,268.730749580561,274.873210094397,184.923243950494,179.099271511795,233.900881014311,204.171004834842,195.989927104805,243.666201516099,"protein_coding","CFAP20 domain containing [Source:HGNC Symbol;Acc:HGNC:24763]"
"56","CHAC2","chr2",53326651,53327581,931,"*","chr2:53326651-53327581",0.000225353005094269,0.000225353005094269,2.29489639772588e-07,3.27650207546807,0.94,0.465,0.475,"M",-6.86826474002759e-05,"",3.8125,-440223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","CHID1","chr11",1198231,1198317,87,"*","chr11:1198231-1198317",0.000159761460370207,0.000159761460370207,1.15290926724412e-07,2.16521785464288,0,0.3,-0.3,"U",6.86826474002521e-05,"",3.3275,-283173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","CHST2","chr3",143791203,143793072,1870,"*","chr3:143791203-143793072",-0.000330584860866167,0.000330584860866167,4.73129156041074e-07,5.05939194853675,0.55,0,0.55,"M",-5.983792181587e-05,"",3.01,671432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","CHST2","chr3",143607255,143609025,1771,"*","chr3:143607255-143609025",-0.000299154035127821,0.000299154035127821,3.89175119709882e-07,4.52687543535703,0.555,0,0.555,"M",-5.983792181587e-05,"",2.9175,487484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","CHST2","chr3",143695103,143695752,650,"*","chr3:143695103-143695752",-0.000221429713543531,0.000221429713543531,2.15514973379153e-07,3.21003173981164,0.47,0,0.47,"M",-5.983792181587e-05,"",2.61,575332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CHST2","chr3",143560906,143562862,1957,"*","chr3:143560906-143562862",-0.000188927788744065,0.000188927788744065,1.57234029906215e-07,2.65936813937285,0.585,0,0.585,"M",-5.983792181587e-05,"",2.36,441135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","CHST9","chr18",27993943,27994233,291,"*","chr18:27993943-27994233",-0.000174383379458134,0.000174383379458134,1.33893355464722e-07,2.41294960160743,0.645,1,-0.355,"U",5.98379218158545e-05,"",3.6425,-808635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CLDN1","chr3",190437991,190438613,623,"*","chr3:190437991-190438613",-0.000250930823615827,0.000250930823615827,2.75736564293306e-07,3.7098540607844,0.565,0,0.565,"M",-5.983792181587e-05,"",2.8,-115545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CLDN16","chr3",190222316,190223852,1537,"*","chr3:190222316-190223852",-0.000159001393138502,0.000159001393138502,1.11052325212479e-07,2.15234042166102,0.6,0,0.6,"M",-5.983792181587e-05,"",2.1025,-98689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CLDN34","chrX",9830216,9831527,1312,"*","chrX:9830216-9831527",-0.000163826658864768,0.000163826658864768,1.18013391627528e-07,2.23409244755776,0.47,0.9,-0.43,"U",5.98379218158476e-05,"",3,-135831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CLEC14A","chr14",38403698,38405641,1944,"*","chr14:38403698-38405641",-0.000159001393138502,0.000159001393138502,1.11052325212479e-07,2.15234042166102,0.3,0,0.3,"M",-5.983792181587e-05,"",2.195,-147605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","CMC1","chr3",28023625,28024692,1068,"*","chr3:28023625-28024692",-0.000273009312710061,0.000273009312710061,3.25363456469222e-07,4.08391868532255,0.56,0,0.56,"M",-5.983792181587e-05,"",4.26,-216892,"ENSG00000187118",461.9570052646,0.290871270064959,0.107035645046538,0.00290166568309088,0.0117958130512394,520.804634517699,607.914609876821,407.653017775311,429.838251628307,493.916908937987,395.968009376663,402.394777872185,437.165832131825,"protein_coding","C-X9-C motif containing 1 [Source:HGNC Symbol;Acc:HGNC:28783]"
