"","segment_id","annotated_genes","seqnames","start","end","width","strand","average_shap_value","reliability_shap_value","shap_variance","z_score","avg_meth_R","avg_meth_S","diff","direction","mean_coef","gene_symbol","avg_depth","dist_to_TSS","baseMean","log2FoldChange","lfcSE","pvalue","padj","type","description","gene_members","gene_dist.to.feature","gene_feature.name","cgi_members","reg_members"
"11","chr3:5428405-5429452","EDEM1","chr3",5428405,5429452,1048,"*",0.000201602246773769,0.000201602246773769,1.78960491485015e-07,2.86748378510005,0.58,0,0.58,"M",5.98839484922663e-05,"",3.535,240759,NA,NA,NA,NA,NA,NA,NA,"",12096,"XR_940567.3","","enhD"
"12","chr3:6140562-6142560","EDEM1","chr3",6140562,6142560,1999,"*",0.000199893575228766,0.000199893575228766,1.75956961028491e-07,2.83858317531464,0.61,0.07,0.54,"M",5.98839484922577e-05,"",2.655,952916,NA,NA,NA,NA,NA,NA,NA,"intron",73600,"XR_940579.2","",""
"13","chr3:189449286-189451045","TP63","chr3",189449286,189451045,1760,"*",0.000195197867693875,0.000195197867693875,1.67823170669399e-07,2.75915959532397,0.565,0,0.565,"M",5.98839484922577e-05,"",3.525,-180344,NA,NA,NA,NA,NA,NA,NA,"",27148,"XR_924819.3","","K4m3,enhD"
"14","chr3:5541690-5543591","EDEM1","chr3",5541690,5543591,1902,"*",0.000193065040639483,0.000193065040639483,1.64187050381247e-07,2.72308478467997,0.625,0.1,0.525,"M",5.98839484922439e-05,"",4.2875,354044,NA,NA,NA,NA,NA,NA,NA,"",-100144,"XR_940567.3","",""
"15","chr3:188963225-188964135","TP63","chr3",188963225,188964135,911,"*",0.000190222886469298,0.000190222886469298,1.59398257945273e-07,2.67501235738244,0.415,0,0.415,"M",5.98839484922577e-05,"",4.1775,-667254,NA,NA,NA,NA,NA,NA,NA,"",-15587,"NR_046873.1","","enhD"
"16","chr3:189337335-189339012","TP63","chr3",189337335,189339012,1678,"*",0.000189053140673919,0.000189053140673919,1.57446124614331e-07,2.65522718165383,0.585,0,0.585,"M",5.98839484922663e-05,"",3.21,-292377,NA,NA,NA,NA,NA,NA,NA,"",-96742,"NR_046722.1","","enhD"
"17","chr4:185988184-185988375","TLR3","chr4",185988184,185988375,192,"*",0.0001880361489961,0.0001880361489961,1.62465923779611e-07,2.63802570152055,0.43,1,-0.57,"U",-5.98839484922931e-05,"",2.82,-80536,2.80666329233088,1.59469491006832,1.36077183050465,0.000926104073395352,0.00435109962577166,"protein_coding","toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]","",22937,"XR_007058417.1","",""
"18","chr9:78400423-78401917","PSAT1","chr9",78400423,78401917,1495,"*",-0.000187091420962028,0.000187091420962028,1.56330152841508e-07,2.62204649454779,1,0.645,0.355,"M",6.87368555706322e-05,"",3.4175,103298,3253.51026542783,0.304480214631518,0.0652734709898091,1.32410564779651e-06,1.19768234333733e-05,"protein_coding","phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]","intron",42820,"XR_001746759.2","",""
"19","chr3:189531912-189533852","TP63","chr3",189531912,189533852,1941,"*",0.000185045132531036,0.000185045132531036,1.50840447459405e-07,2.58743540523373,0.575,0,0.575,"M",5.98839484922577e-05,"",2.8875,-97537,NA,NA,NA,NA,NA,NA,NA,"",-53721,"XR_924819.3","",""
"20","chr18:3988526-3988648","TGIF1","chr18",3988526,3988648,123,"*",0.000172647787881082,0.000172647787881082,1.31222618057088e-07,2.37774570732107,0.32,0,0.32,"M",5.9883948492293e-05,"",5.34,576918,NA,NA,NA,NA,NA,NA,NA,"intron",26175,"NR_102696.1","","CTCF"
"21","chr3:154799984-154801543","MME","chr3",154799984,154801543,1560,"*",0.000163613201455386,0.000163613201455386,1.17701646518123e-07,2.22493397611077,0.69,0.23,0.46,"M",5.98839484922467e-05,"",3.2475,-222581,NA,NA,NA,NA,NA,NA,NA,"",85872,"XR_924602.1","",""
"22","chr14:38403698-38405641","SEC23A","chr14",38403698,38405641,1944,"*",0.000159106915418104,0.000159106915418104,1.11202091546215e-07,2.14871428677035,0.3,0,0.3,"M",5.98839484922752e-05,"",2.195,704005,1451.71427884476,0.16273248310428,0.0648317655829001,0.00946223521577152,0.0325311246412134,"protein_coding","SEC23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]","",32482,"XR_007064118.1","","enhD"
"23","chr3:189342258-189344238","TP63","chr3",189342258,189344238,1981,"*",0.000159106915418104,0.000159106915418104,1.11202091546215e-07,2.14871428677035,0.6,0,0.6,"M",5.98839484922752e-05,"",2.4675,-287151,NA,NA,NA,NA,NA,NA,NA,"",-101665,"NR_046722.1","",""
"24","chr4:138507499-138508675","SLC7A11","chr4",138507499,138508675,1177,"*",-0.000158586434119885,0.000158586434119885,1.11556558149812e-07,2.13991082366803,1,0.66,0.34,"M",6.87368555706754e-05,"",3.325,-194841,103.210483732784,2.13949569962491,0.254335508769367,2.69170851624654e-18,1.04318748084935e-16,"protein_coding","solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]","",-194829,"XM_047449959.1","",""
"25","chr2:239703924-239704295","NDUFA10","chr2",239703924,239704295,372,"*",-0.000155593474682006,0.000155593474682006,1.07232791279574e-07,2.08928766378064,0.12,0.455,-0.335,"U",-6.87368555706515e-05,"",5.86,321448,NA,NA,NA,NA,NA,NA,NA,"",47518,"XR_924055.3","",""
"26","chr8:102278316-102279140","RRM2B","chr8",102278316,102279140,825,"*",-0.000154234707463064,0.000154234707463064,1.05293526342667e-07,2.0663053642868,1,0.695,0.305,"M",6.87368555706099e-05,"",1.8125,-39355,1415.32331094933,-0.245456794733776,0.0671081050853777,0.000147137115578246,0.000857722638559134,"protein_coding","ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]","exon,intron",23301,"XM_005250962.6","","enhD"
"27","chr3:6078271-6080078","EDEM1","chr3",6078271,6080078,1808,"*",0.000154047109657446,0.000154047109657446,1.04098127636672e-07,2.06313231971154,0.585,0,0.585,"M",5.98839484922667e-05,"",2.2425,890625,NA,NA,NA,NA,NA,NA,NA,"intron",11309,"XR_940579.2","","enhD"
"28","chr3:189141740-189143311","TP63","chr3",189141740,189143311,1572,"*",0.000151080673486768,0.000151080673486768,1.00028671447317e-07,2.01295777652749,0.605,0,0.605,"M",5.98839484922752e-05,"",4.2675,-488078,NA,NA,NA,NA,NA,NA,NA,"intron",-8211,"XM_011512732.3","","enhD"
"29","chr17:69737201-69737456","MAP2K6","chr17",69737201,69737456,256,"*",-0.000148662155679938,0.000148662155679938,9.93596759280065e-08,1.9720507692102,0.56,0.22,0.34,"M",6.87368555707144e-05,"",5.1875,322504,2871.10473331147,-0.211548119070158,0.0713696239143614,0.00201147251102984,0.00859486405674186,"protein_coding","mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]","intron",143216,"NR_109971.1","",""
"30","chr3:189241347-189242358","TP63","chr3",189241347,189242358,1012,"*",0.000143810094364874,0.000143810094364874,9.03529907433844e-08,1.88998260863735,0.61,0,0.61,"M",5.98839484922663e-05,"",3.6075,-389031,NA,NA,NA,NA,NA,NA,NA,"prom,intron",-754,"NR_046722.1","",""
"31","chr5:1777629-1777681","NDUFS6","chr5",1777629,1777681,53,"*",0.000143810094364762,0.000143810094364762,9.03529907432501e-08,1.88998260863546,0.695,1,-0.305,"U",-5.98839484922413e-05,"",2.245,-23726,NA,NA,NA,NA,NA,NA,NA,"",-15384,"XR_241722.5","",""
"32","chr3:87133002-87134323","CHMP2B","chr3",87133002,87134323,1322,"*",0.000141489351748347,0.000141489351748347,8.7353788594465e-08,1.85072937885848,0.575,0,0.575,"M",5.98839484922752e-05,"",3.455,-92948,452.558483294777,0.239267504692953,0.0831168670793259,0.00233260719460889,0.00976331081535557,"protein_coding","charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]","intron",43724,"NR_104153.1","",""
"33","chr9:79141407-79143193","PSAT1","chr9",79141407,79143193,1787,"*",0.000141255003491667,0.000141255003491667,9.20861387484522e-08,1.84676559334335,0.645,1,-0.355,"U",-5.9883948492264e-05,"",3.445,844282,3253.51026542783,0.304480214631518,0.0652734709898091,1.32410564779651e-06,1.19768234333733e-05,"protein_coding","phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]","exon,intron",2474,"NR_109771.1","","enhD"
"34","chrX:155342468-155344064","H2AB2","chrX",155342468,155344064,1597,"*",-0.000140119367839376,0.000140119367839376,8.77745067187464e-08,1.82755735935521,0,0.46,-0.46,"U",-6.87368555706515e-05,"",4.9775,-36645,NA,NA,NA,NA,NA,NA,NA,"",-7855,"NM_001289.6","",""
"35","chr10:133481935-133481973","CYP2E1","chr10",133481935,133481973,39,"*",-0.000140119220381084,0.000140119220381084,8.60221455693002e-08,1.82755486523365,1,0.485,0.515,"M",6.87368555707091e-05,"",3.2675,-38433,NA,NA,NA,NA,NA,NA,NA,"",27992,"NM_001396050.1","",""
"36","chr19:47954857-47954975","SULT2A1","chr19",47954857,47954975,119,"*",0.000139895608145814,0.000139895608145814,8.53191372989201e-08,1.82377266965973,0.67,0.29,0.38,"M",5.98839484922885e-05,"",15.75,-68542,NA,NA,NA,NA,NA,NA,NA,"prom",-707,"NR_024220.1","",""
"37","chr3:130810709-130812024","PIK3R4","chr3",130810709,130812024,1316,"*",-0.000134803389214539,0.000134803389214539,7.91782810886049e-08,1.73764246359111,1,0.725,0.275,"M",6.87368555706099e-05,"",4.3125,-63880,NA,NA,NA,NA,NA,NA,NA,"intron",-1699,"XR_924482.3","","enhP"
"38","chr7:17630010-17630107","AHR","chr7",17630010,17630107,98,"*",-0.000132725384641991,0.000132725384641991,7.65644963356835e-08,1.7024949248736,0,0.42,-0.42,"U",-6.87368555706737e-05,"",3.5475,497820,NA,NA,NA,NA,NA,NA,NA,"",-71102,"NR_110013.1","",""
"39","chr4:9942126-9942304","DRD5","chr4",9942126,9942304,179,"*",-0.000131958816924508,0.000131958816924508,7.72522632332396e-08,1.68952913601741,0,0.31,-0.31,"U",-6.87368555706515e-05,"",3.23,160492,NA,NA,NA,NA,NA,NA,NA,"intron",43331,"XM_011513867.4","",""
"40","chr16:83456608-83456704","HSBP1","chr16",83456608,83456704,97,"*",0.000131158093144921,0.000131158093144921,7.45264600008347e-08,1.67598562874275,0.81,0.5,0.31,"M",5.98839484922776e-05,"",4.5175,-262607,NA,NA,NA,NA,NA,NA,NA,"intron",-51642,"NR_036147.1","",""
"41","chr3:189440926-189442396","TP63","chr3",189440926,189442396,1471,"*",0.000131158093144875,0.000131158093144875,7.45264600007845e-08,1.67598562874198,0.62,0,0.62,"M",5.98839484922663e-05,"",3.8225,-188993,NA,NA,NA,NA,NA,NA,NA,"",35797,"XR_924819.3","",""
"42","chr2:53451092-53451757","CHAC2","chr2",53451092,53451757,666,"*",0.000128834637811114,0.000128834637811114,7.63355050104452e-08,1.6366865158427,0.64,1,-0.36,"U",-5.98839484922751e-05,"",2.555,-316047,NA,NA,NA,NA,NA,NA,NA,"",18873,"XR_007088721.1","",""
"43","chr3:26075603-26075650","NGLY1","chr3",26075603,26075650,48,"*",0.000128834637811114,0.000128834637811114,7.63355050104452e-08,1.6366865158427,0.64,1,-0.36,"U",-5.98839484922751e-05,"",6.6425,-285564,NA,NA,NA,NA,NA,NA,NA,"intron",10767,"XR_940662.2","",""
"44","chr10:57951185-57951843","CISD1","chr10",57951185,57951843,659,"*",0.00012160003558518,0.00012160003558518,6.77280436257611e-08,1.51431986410329,0.72,0.29,0.43,"M",5.98839484923063e-05,"",3.7975,-317319,749.123409170356,0.335119979448061,0.102136001332065,0.000356154834513696,0.00186727049638262,"protein_coding","CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:HGNC:30880]","",25923,"XR_007062373.1","",""
"45","chr9:6024267-6024425","IL33","chr9",6024267,6024425,159,"*",-0.000119871271252568,0.000119871271252568,6.26440156883614e-08,1.48507940327048,0,0.24,-0.24,"U",-6.87368555706515e-05,"",4.1375,-191361,11.8978221613785,2.97668189286248,0.66541395537436,1.06639317154902e-07,1.17352529499589e-06,"protein_coding","interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]","",-8644,"NM_001243203.2","","enhD"
"46","chr7:41966206-41966245","INHBA","chr7",41966206,41966245,40,"*",-0.000119763102435277,0.000119763102435277,6.10411805504507e-08,1.48324982707803,0.5,0.18,0.32,"M",6.87368555706515e-05,"",4.3525,-260372,132.444833268915,1.78658257295782,0.21303914466787,1.84752704107568e-18,7.30166272084695e-17,"protein_coding","inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]","exon",-32617,"XR_007060294.1","CpGi",""
"47","chr5:91503809-91505184","ARRDC3","chr5",91503809,91505184,1376,"*",-0.00011885980736983,0.00011885980736983,6.00096077713447e-08,1.46797142071379,0.95,0.7,0.25,"M",6.873685557071e-05,"",4.18,-120492,1067.55823452414,-0.741506004362411,0.146728409748727,1.60178992097996e-08,2.00841595443991e-07,"protein_coding","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]","",-99522,"XR_001742804.2","",""
"48","chr6:10446792-10447382","TFAP2A","chr6",10446792,10447382,591,"*",0.000116200883578452,0.000116200883578452,5.7473520487561e-08,1.42299816697845,0.595,0.1,0.495,"M",5.98839484922663e-05,"",4.5425,-27133,NA,NA,NA,NA,NA,NA,NA,"intron",7077,"NR_049872.1","",""
"49","chr13:37571332-37571365","CSNK1A1L","chr13",37571332,37571365,34,"*",-0.000115706858947546,0.000115706858947546,5.64601731610987e-08,1.41464219410352,0.78,0.535,0.245,"M",6.873685557071e-05,"",4.985,-465668,NA,NA,NA,NA,NA,NA,NA,"intron",27404,"NM_006475.3","",""
"50","chr1:40411316-40411540","ZFP69B","chr1",40411316,40411540,225,"*",-0.000114533450577783,0.000114533450577783,5.65643936717592e-08,1.39479506929324,0,0.255,-0.255,"U",-6.87368555706737e-05,"",3.5625,-38562,NA,NA,NA,NA,NA,NA,NA,"intron",14518,"NM_001198980.1","","enhD"
"51","chr10:5146293-5146879","AKR1C3","chr10",5146293,5146879,587,"*",0.000113645525717865,0.000113645525717865,5.47398680450656e-08,1.37977663583812,0.745,1,-0.255,"U",-5.98839484922413e-05,"",3.29,110939,115.711206887431,1.63419117624435,0.199255098604288,5.31590867465784e-18,1.99193379084261e-16,"protein_coding","aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]","exon,intron",23917,"XM_047425164.1","",""
"52","chr8:76856750-76857574","PEX2","chr8",76856750,76857574,825,"*",0.000111521561776221,0.000111521561776221,5.25076609229394e-08,1.34385173660558,0.68,1,-0.32,"U",-5.98839484923334e-05,"",2.5225,143470,NA,NA,NA,NA,NA,NA,NA,"intron",109277,"NR_130460.1","",""
"53","chr5:1727508-1727641","NDUFS6","chr5",1727508,1727641,134,"*",-0.000110380013271051,0.000110380013271051,5.06445810019101e-08,1.3245434921419,0,0.215,-0.215,"U",-6.87368555706515e-05,"",3.705,-73766,NA,NA,NA,NA,NA,NA,NA,"",-2125,"XR_925684.3","shores",""
"54","chr17:27714184-27715788","NOS2","chr17",27714184,27715788,1605,"*",-0.000109444678482225,0.000109444678482225,4.96469175703535e-08,1.30872316328488,0.36,0.125,0.235,"M",6.87368555706639e-05,"",3.5525,84741,36.1235575095004,2.08639127292485,0.302203072011045,2.58529023564757e-13,6.22504375722362e-12,"protein_coding","nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]","",82998,"NR_024043.2","",""
"55","chr3:180212287-180212621","PEX5L","chr3",180212287,180212621,335,"*",-0.000106957888980301,0.000106957888980301,4.70285511645329e-08,1.26666140295198,1,0.475,0.525,"M",6.87368555706639e-05,"",3.1075,-175234,NA,NA,NA,NA,NA,NA,NA,"",101683,"XR_007096184.1","",""
"56","chr1:227836405-227837261","WNT9A","chr1",227836405,227837261,857,"*",-0.000105733273233707,0.000105733273233707,4.70376771749949e-08,1.24594815239607,1,0.76,0.24,"M",6.87368555706424e-05,"",3.44,110671,NA,NA,NA,NA,NA,NA,NA,"intron",20732,"XM_011544175.3","",""
"57","chr12:13363923-13363973","GRIN2B","chr12",13363923,13363973,51,"*",-0.000105296844589722,0.000105296844589722,4.65812950201968e-08,1.23856636273856,1,0.565,0.435,"M",6.87368555707415e-05,"",2.495,618029,NA,NA,NA,NA,NA,NA,NA,"",12773,"NR_036555.1","",""
"58","chr2:53262806-53264670","CHAC2","chr2",53262806,53264670,1865,"*",0.000104381813358708,0.000104381813358708,4.89191095325667e-08,1.22308944991331,0.72,1,-0.28,"U",-5.98839484922862e-05,"",2.33,-503134,NA,NA,NA,NA,NA,NA,NA,"",-53840,"NR_187750.1","",""
"59","chr15:39285620-39286884","THBS1","chr15",39285620,39286884,1265,"*",0.000103781368817658,0.000103781368817658,4.46801194242539e-08,1.21293348200396,0.74,1,-0.26,"U",-5.98839484922776e-05,"",2.955,-294195,NA,NA,NA,NA,NA,NA,NA,"intron",34953,"NR_144507.1","","enhD"
"60","chr3:155254433-155256312","MME","chr3",155254433,155256312,1880,"*",0.000103781368817657,0.000103781368817657,4.46801194242549e-08,1.21293348200394,0.86,0.6,0.26,"M",5.98839484923131e-05,"",3.0825,230309,NA,NA,NA,NA,NA,NA,NA,"",13490,"NR_125399.1","",""
"61","chr3:53270064-53270215","CACNA1D","chr3",53270064,53270215,152,"*",0.000103781368817651,0.000103781368817651,4.46801194242475e-08,1.21293348200384,0.65,0,0.65,"M",5.98839484922752e-05,"",2.4375,-58748,56.6010722483506,2.06517751491053,0.272530087377985,1.99375421344945e-15,5.91867332428686e-14,"protein_coding","calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]","prom,exon,intron",92,"XR_001740702.3","","enhD"
"62","chr16:9552935-9553243","GRIN2A","chr16",9552935,9553243,309,"*",0.000103781368817622,0.000103781368817622,4.46801194242235e-08,1.21293348200336,0.26,0,0.26,"M",5.98839484922663e-05,"",3.32,629685,NA,NA,NA,NA,NA,NA,NA,"intron",10961,"NR_188388.1","",""
"63","chr13:73938223-73938354","KLF5","chr13",73938223,73938354,132,"*",0.000101975321604369,0.000101975321604369,4.64781212723298e-08,1.1823858522281,0.68,0.43,0.25,"M",5.98839484922885e-05,"",3.9525,883247,140.248888548843,-0.868975525934286,0.192095338737463,1.58500314365931e-07,1.68718816008434e-06,"protein_coding","Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]","intron",6867,"XM_011534911.3","",""
"64","chr4:113974313-113976112","CAMK2D","chr4",113974313,113976112,1800,"*",0.000101975321604363,0.000101975321604363,4.64781212723194e-08,1.182385852228,0.725,1,-0.275,"U",-5.98839484922501e-05,"ARSJ",3.1825,-212386,NA,NA,NA,NA,NA,NA,NA,"intron",3536,"NM_001354211.2","","enhD"
"65","chr1:239309122-239310120","CHRM3","chr1",239309122,239310120,999,"*",-0.000100974364160868,0.000100974364160868,4.21431960564983e-08,1.16545557644101,1,0.705,0.295,"M",6.87368555707301e-05,"",6.1025,-76445,771.688244768299,0.761970887700418,0.126991018982808,7.12187326079469e-11,1.25989329351678e-09,"protein_coding","cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]","",-53903,"XR_949313.2","",""
"66","chr4:110559019-110559045","PITX2","chr4",110559019,110559045,27,"*",0.000100422947832374,0.000100422947832374,4.49279038356707e-08,1.15612887571511,0.58,1,-0.42,"U",-5.98839484922351e-05,"",3.2975,83078,NA,NA,NA,NA,NA,NA,NA,"intron",-52298,"XR_939071.3","",""
"67","chr4:95528381-95528507","BMPR1B","chr4",95528381,95528507,127,"*",-0.000100180569814173,0.000100180569814173,4.01445862731696e-08,1.15202927415911,0.33,0.11,0.22,"M",6.87368555706639e-05,"",4.245,770426,678.259846580184,0.238224744978764,0.0906791604296093,0.00500899035279439,0.0189439782030858,"protein_coding","bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]","intron",20467,"XM_005263321.4","","enhD"
"68","chr6:137640347-137640557","TNFAIP3","chr6",137640347,137640557,211,"*",-0.000100180569814138,0.000100180569814138,4.01445862731414e-08,1.15202927415852,0.25,0.75,-0.5,"U",-6.87368555706515e-05,"",3.85,-226657,4.74577651258649,1.693203871717,1.24254386090024,0.00076158893906679,0.00366829419530133,"protein_coding","TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]","",-25089,"NR_125867.1","",""
"69","chr18:3743643-3743650","TGIF1","chr18",3743643,3743650,8,"*",9.80035565850733e-05,9.80035565850733e-05,3.9151584872142e-08,1.11520709495452,0.6,0.33,0.27,"M",5.98839484922751e-05,"",4.5,332035,NA,NA,NA,NA,NA,NA,NA,"intron",-67667,"XR_007066486.1","",""
"70","chr2:23454558-23454767","UBXN2A","chr2",23454558,23454767,210,"*",-9.71334349009955e-05,9.71334349009955e-05,3.71696894096202e-08,1.1004897858667,0.68,0.895,-0.215,"U",-6.87368555707215e-05,"",6.38,-472518,NA,NA,NA,NA,NA,NA,NA,"intron",20738,"XR_007086244.1","",""
"71","chr5:53446031-53446860","FST","chr5",53446031,53446860,830,"*",-9.71334349007828e-05,9.71334349007828e-05,3.71696894094563e-08,1.1004897858631,0.5,0.285,0.215,"M",6.87368555706322e-05,"",2.73,-33766,NA,NA,NA,NA,NA,NA,NA,"",-33769,"XM_017008954.2","",""
"72","chr16:30169397-30169410","MAPK3","chr16",30169397,30169410,14,"*",-9.54027324300426e-05,9.54027324300426e-05,3.55132326827422e-08,1.07121654320404,0.8,0.26,0.54,"M",6.87368555706515e-05,"",3.48,-45891,893.625793967354,0.77909607325296,0.0933245397331518,2.59975011167396e-18,1.00905226349375e-16,"protein_coding","mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]","",-14192,"NM_007074.4","",""
"73","chr5:53381768-53381945","FST","chr5",53381768,53381945,178,"*",9.52178177168517e-05,9.52178177168517e-05,3.65822095239708e-08,1.06808888067279,0.445,0.75,-0.305,"U",-5.98839484922524e-05,"",3.985,-98681,NA,NA,NA,NA,NA,NA,NA,"",-55226,"XR_001742511.1","",""
"74","chr14:76140629-76140740","TGFB3","chr14",76140629,76140740,112,"*",-9.51653905051956e-05,9.51653905051956e-05,3.52879493740258e-08,1.06720212254151,0,0.385,-0.385,"U",-6.87368555706515e-05,"",2.995,-157618,71.7226068789622,2.02149742996934,0.213647430401755,2.05121373151073e-22,1.13735209142722e-20,"protein_coding","transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]","",-11182,"NM_001322031.2","shores",""
"75","chr12:130033707-130034091","FZD10","chr12",130033707,130034091,385,"*",-9.42366169518114e-05,9.42366169518114e-05,3.55221598980897e-08,1.05149277095556,0.56,0.8,-0.24,"U",-6.87368555707071e-05,"",2.6475,-128368,NA,NA,NA,NA,NA,NA,NA,"exon",8252,"NR_024457.2","",""
"76","chr4:73320650-73320932","ALB","chr4",73320650,73320932,283,"*",-9.42366169517169e-05,9.42366169517169e-05,3.55221598980185e-08,1.05149277095396,0.22,0.52,-0.3,"U",-6.87368555706737e-05,"",3.6125,-76182,NA,NA,NA,NA,NA,NA,NA,"intron",56692,"XR_007058528.1","",""
"77","chr17:21346062-21346089","MAP2K3","chr17",21346062,21346089,28,"*",-9.31606021485698e-05,9.31606021485698e-05,3.3403083804598e-08,1.03329296886793,0.86,0.5,0.36,"M",6.87368555706789e-05,"",7.9825,61390,625.777798220967,-0.2838611104659,0.0859247696084468,0.000448208119542887,0.00229487146066406,"protein_coding","mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]","",-30268,"NM_021012.5","",""
"78","chr6:91129890-91129917","MAP3K7","chr6",91129890,91129917,28,"*",9.30976581281882e-05,9.30976581281882e-05,3.4668695795812e-08,1.03222832857665,0.76,1,-0.24,"U",-5.9883948492269e-05,"",4.8025,-542804,NA,NA,NA,NA,NA,NA,NA,"",-227867,"XR_001744260.1","",""
