"","annotated_genes","seqnames","start","end","width","strand","average_shap_value","reliability_shap_value","z_score","avg_meth_R","avg_meth_S","diff","direction","gene_symbol","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","RPMI8226_1_3b","JJN3_1_3b","OPM_4_1","MM1R_1_2","OPM_2_1","OPM_3_3","JJN3_4_2b","OPM_4_3","RPMI8226_4_1b","MM1R_3_1","MM1R_2_2","RPMI8226_2_3b","JJN3_2_2b","JJN3_3_3b","RPMI8226_3_2b","MM1R_4_2","type","description"
"22","ABLIM2","chr4",8067500,8069476,1977,"*",-0.000210935440239695,0.000210935440239695,3.46682304567428,0.245,0.02,0.225,"M","",89356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ABTB1","chr3",127866202,127866348,147,"*",0.000153352099464736,0.000153352099464736,2.46749854296474,0,0.215,-0.215,"U","",193267,"ENSG00000114626",809.120891246019,1.47476308140759,0.420277986876864,2.45322672220987e-05,0.000171761701519475,1930.23617886524,933.675537786129,194.226278785926,550.248372019705,139.418541361178,153.821179288659,1263.06208334838,143.760166919091,733.941335180711,663.639151933132,599.691874294373,856.817577223,1679.03821855032,1281.31775093458,1201.25592134802,621.784092097868,"protein_coding","ankyrin repeat and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275]"
"24","ABTB2","chr11",34421273,34422206,934,"*",0.000210940736197978,0.000210940736197978,3.46691495386867,0.12,0.41,-0.29,"U","",-63263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ACAA2","chr18",49812808,49813133,326,"*",0.000183785606621188,0.000183785606621188,2.99565389129171,0,0.485,-0.485,"U","",820,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"26","ACAA2","chr18",49813159,49813404,246,"*",0.000397773706062331,0.000397773706062331,6.70928960922439,0,0.34,-0.34,"U","ACAA2",549,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"27","ACAD9","chr3",128733149,128734984,1836,"*",-0.000192339478286218,0.000192339478286218,3.14410122749792,0.875,0.95,-0.075,"U","",-144612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ACADL","chr2",210207831,210208953,1123,"*",0.000318514479220294,0.000318514479220294,5.33379304401809,0,0.215,-0.215,"U","",16494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ACADM","chr1",75709188,75710831,1644,"*",0.00015463122841894,0.00015463122841894,2.48969706234307,0.25,0.575,-0.325,"U","",-13600,"ENSG00000117054",2350.47006880672,-0.85100182448176,0.320168808423256,0.00172514107219149,0.00704516052965004,2047.17356395393,902.08501207156,4079.56451675877,2310.89759413038,4608.73337295075,4058.97127363252,2450.87447178876,3874.3364984695,862.265669256332,2046.22071846049,2174.70679689168,981.122717960015,2076.53779680561,2330.92512178263,796.937890608241,2006.16808538636,"protein_coding","acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]"
"30","ACAP2","chr3",195316436,195318029,1594,"*",-0.000206639348579746,0.000206639348579746,3.39226693962181,0.92,1,-0.0800000000000001,"U","",125015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ACAT1","chr11",108123107,108123729,623,"*",-0.000242426428540014,0.000242426428540014,4.01333034795177,0.775,0.96,-0.185,"U","ACAT1",6412,"ENSG00000075239",4259.31790412679,0.659943225346781,0.24850874698187,0.00290841950058082,0.0109427561001597,6505.41137046013,3706.62168384268,3434.31068681724,2612.95192533167,4539.02410227016,3807.37229045494,7830.01395295471,3696.43329190713,5218.83065129127,2367.55174461202,2482.79025978467,4345.1305891555,6084.9235439319,6905.78234545577,2244.5865359333,2367.35149182556,"protein_coding","acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]"
"32","ACAT1","chr11",108161205,108161375,171,"*",0.000287773750518438,0.000287773750518438,4.80030604917757,0.92,0.53,0.39,"M","",44510,"ENSG00000075239",4259.31790412679,0.659943225346781,0.24850874698187,0.00290841950058082,0.0109427561001597,6505.41137046013,3706.62168384268,3434.31068681724,2612.95192533167,4539.02410227016,3807.37229045494,7830.01395295471,3696.43329190713,5218.83065129127,2367.55174461202,2482.79025978467,4345.1305891555,6084.9235439319,6905.78234545577,2244.5865359333,2367.35149182556,"protein_coding","acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]"
"33","ACBD4","chr17",45133133,45133497,365,"*",-0.00101132827196174,0.00101132827196174,17.357162817012,0.33,0,0.33,"M","PLCD3",533,"ENSG00000181513",1015.47437136613,1.39669294716846,0.124012630417111,1.29964493683222e-30,1.89748160777504e-28,1575.57739908968,1518.97777810882,481.908716820309,470.913619969245,522.819530104417,487.696607202027,1081.81550636565,637.935740703467,1558.35594186798,646.47607041762,547.795462095822,1595.98921767704,1549.4533560391,1269.93548664962,1669.18275620056,632.756752546654,"protein_coding","acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337]"
"34","ACBD6","chr1",180299983,180301982,2000,"*",0.000139836175490925,0.000139836175490925,2.23293775121468,0.97,0.845,0.125,"M","",200972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ACCS","chr11",43980388,43982075,1688,"*",0.000141841803343344,0.000141841803343344,2.26774422526196,0.14,0.24,-0.1,"U","",-83850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","ACKR1","chr1",159341585,159343252,1668,"*",0.000139923780290888,0.000139923780290888,2.2344580802192,0,0.395,-0.395,"U","",136710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ACKR1","chr1",159196322,159198287,1966,"*",0.000126501088340864,0.000126501088340864,2.00151527458376,0.04,0.22,-0.18,"U","",-6588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ACKR4","chr3",132448247,132448936,690,"*",-0.000263917575488075,0.000263917575488075,4.38629637332464,0.3,0,0.3,"M","",-148334,"ENSG00000129048",28.9215117749932,0.673194314486539,0.288764818454342,0.00693135568069827,0.0225149149809991,20.0024474493807,44.753244762305,23.5672053756981,20.3795693340632,12.6744128510162,10.7317101829297,20.2284126096794,41.3310479892387,43.3902424572244,17.163081515512,19.7700617899244,41.0650911363355,31.0049671039122,42.276981629821,49.7172262030829,24.6884860097683,"protein_coding","atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611]"
"39","ACO1","chr9",31883538,31885328,1791,"*",-0.000144616466365098,0.000144616466365098,2.31589684556993,0.43,0,0.43,"M","",-499275,"ENSG00000122729",1003.69816486463,-0.41798530823699,0.113877288195687,0.000156365703175063,0.000885661747680416,768.555576997359,909.982643500202,1201.9274741606,1179.83149608987,1206.4456732561,1382.00578911283,1109.32614751482,1090.7802664986,707.168632387956,989.737700727861,1109.59471795951,729.182834501957,814.874135423334,843.100575963931,943.165026499662,1073.49194723955,"protein_coding","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]"
"40","ACO1","chr9",32276291,32278289,1999,"*",0.000195579341542531,0.000195579341542531,3.20032712015869,0.1,0.235,-0.135,"U","",-106314,"ENSG00000122729",1003.69816486463,-0.41798530823699,0.113877288195687,0.000156365703175063,0.000885661747680416,768.555576997359,909.982643500202,1201.9274741606,1179.83149608987,1206.4456732561,1382.00578911283,1109.32614751482,1090.7802664986,707.168632387956,989.737700727861,1109.59471795951,729.182834501957,814.874135423334,843.100575963931,943.165026499662,1073.49194723955,"protein_coding","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]"
"41","ACOT12","chr5",81411772,81413563,1792,"*",-0.000249588831756949,0.000249588831756949,4.13762957992827,0.73,0.92,-0.19,"U","",-17593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ACOT12","chr5",81443601,81445541,1941,"*",-0.000263917575485375,0.000263917575485375,4.38629637327778,0.83,0.93,-0.1,"U","",-49422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ACOT7","chr1",6419665,6420062,398,"*",-0.000171884215929839,0.000171884215929839,2.78911236080523,0.125,0,0.125,"M","HES2",-25898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","ACOX3","chr4",8549032,8550992,1961,"*",-0.000341467098494327,0.000341467098494327,5.7321220491299,0.4,0.05,0.35,"M","",-108309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","ACOX3","chr4",8500717,8502596,1880,"*",-0.000289214106725743,0.000289214106725743,4.82530257128305,0.15,0.05,0.1,"M","",-59994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","ACOX3","chr4",8486274,8486995,722,"*",-0.00013295699678349,0.00013295699678349,2.11355371151952,0.75,0.8,-0.05,"U","",-45551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","ACP4","chr19",50811458,50813367,1910,"*",-0.000203118581768987,0.000203118581768987,3.33116613346908,0.145,0,0.145,"M","",21043,"ENSG00000142513",51.7450071869491,-0.996986317252053,0.540711672344315,0.0100466802408799,0.0306136897010476,57.6993676424444,7.02011682545961,124.337324913166,22.5630946198556,62.5799134518923,112.086750799488,17.8010030965179,195.873227427262,14.7711463684168,34.3261630310241,17.2988040661838,15.5381425921269,46.1099510776131,46.3420760173038,19.7406633453418,33.8323697170899,"protein_coding","acid phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:14376]"
"48","ACSF3","chr16",89052641,89053123,483,"*",-0.000681528578002284,0.000681528578002284,11.6336860140977,0.225,0,0.225,"M","",-35252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ACSF3","chr16",88990444,88990545,102,"*",0.000178789537226986,0.000178789537226986,2.90895008953809,0.9,0.585,0.315,"M","",-97830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ACSL3","chr2",222853109,222853126,18,"*",-0.000195304648552622,0.000195304648552622,3.19555998730666,0.94,0.87,0.07,"M","",-7816,"ENSG00000123983",3471.24264325616,-1.05462646233845,0.307604382347745,7.77174082585066e-05,0.000477527899237592,1717.90250594104,2483.36632700634,7384.66190513684,2834.94366272057,6518.60895943825,8348.07811007675,2057.63413065659,6156.52914831008,2176.89769604543,2586.85778619912,2509.97409474582,2409.52196910768,1762.51312998393,1789.45454936992,2452.96020457858,2349.97811278165,"protein_coding","acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]"
"51","ACSM4","chr12",7082480,7083551,1072,"*",0.000129057278464498,0.000129057278464498,2.04587642817008,0.12,0.395,-0.275,"U","",-220521,"ENSG00000215009",6.78684981951475,1.56635666176555,0.615032861953046,0.000542375237714502,0.0026182298272615,7.69324901899258,7.02011682545961,0.812662254334417,3.63920880965414,4.75290481913106,3.57723672764323,10.5187745570333,5.39100625946592,12.9247530723647,0,0,23.3072138881904,7.15499240859513,4.06509438748279,13.1604422302278,4.57194185366079,"protein_coding","acyl-CoA synthetase medium chain family member 4 [Source:HGNC Symbol;Acc:HGNC:32016]"
"52","ACSM6","chr10",95076413,95078395,1983,"*",0.000141841803343213,0.000141841803343213,2.26774422525968,0,0.2,-0.2,"U","",-115805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ACTB","chr7",5571103,5571140,38,"*",-0.000161859087363109,0.000161859087363109,2.61513223938958,0.415,0,0.415,"M","",-7201,"ENSG00000075624",71934.3795297864,-0.450165282235422,0.206890736628807,0.0176377649805988,0.0485173485436097,62039.89873896,50653.6529541038,56876.6058563571,103423.403003323,58086.0419454039,58413.8909379288,75167.1629845599,64463.8558486069,50920.7575151729,102589.459245387,108551.643020453,47578.9024844207,64459.3266090335,73576.5823756835,50337.960394942,123810.928562246,"protein_coding","actin beta [Source:HGNC Symbol;Acc:HGNC:132]"
"54","ACTBL2","chr5",58178117,58179846,1730,"*",0.00024935296894623,0.00024935296894623,4.13353632165501,0.05,0.22,-0.17,"U","",-695306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","ACTBL2","chr5",57418514,57420155,1642,"*",0.000218622286593467,0.000218622286593467,3.60022367520546,0.16,0.31,-0.15,"U","",62656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","ACTL7B","chr9",108741952,108743038,1087,"*",0.000203259733449428,0.000203259733449428,3.33361573661756,0.17,0.45,-0.28,"U","",112948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ACTL8","chr1",18030015,18031903,1889,"*",-0.000132956996785001,0.000132956996785001,2.11355371154574,0.1,0,0.1,"M","",274682,"ENSG00000117148",241.310438216485,4.41817955354039,1.45528417151739,7.28606982589328e-05,0.000451642112785221,0,1012.65185207255,4.06331127167208,15.2846770005474,11.0901112446391,1.19241224254774,0,14.3760166919091,1130.91589383191,9.53504528639558,15.6512989170235,866.806383175081,0,0,761.112242314843,18.2877674146432,"protein_coding","actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]"
"58","ACTL8","chr1",18046987,18048919,1933,"*",-0.000304886052066766,0.000304886052066766,5.09727982674683,0.105,0,0.105,"M","",291654,"ENSG00000117148",241.310438216485,4.41817955354039,1.45528417151739,7.28606982589328e-05,0.000451642112785221,0,1012.65185207255,4.06331127167208,15.2846770005474,11.0901112446391,1.19241224254774,0,14.3760166919091,1130.91589383191,9.53504528639558,15.6512989170235,866.806383175081,0,0,761.112242314843,18.2877674146432,"protein_coding","actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]"
"59","ACTR3","chr2",113796559,113796941,383,"*",0.000139923780291548,0.000139923780291548,2.23445808023066,0.25,0.645,-0.395,"U","",-93122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ACTR6","chr12",100227964,100229741,1778,"*",-0.000156646722024,0.000156646722024,2.52467475063772,0.785,0.91,-0.125,"U","",28842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","ACTR6","chr12",100199640,100199889,250,"*",0.000151818189250246,0.000151818189250246,2.44087844691497,0,0.27,-0.27,"U","ACTR6",518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","ACTRT2","chr1",2910330,2911024,695,"*",-0.000744340447003344,0.000744340447003344,12.7237485028138,0.245,0,0.245,"M","",-110443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","ACTRT2","chr1",2983270,2984957,1688,"*",-0.0004617442085161,0.0004617442085161,7.8194594898245,0.165,0.01,0.155,"M","",-36510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ACTRT2","chr1",2808861,2809826,966,"*",-0.000221361951500147,0.000221361951500147,3.64776892411969,0.235,0,0.235,"M","",-211641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","ACTRT2","chr1",2884686,2885969,1284,"*",-0.000218754921348548,0.000218754921348548,3.60252547219881,0.155,0,0.155,"M","",-135498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","ACTRT2","chr1",2864589,2866379,1791,"*",-0.00021093544023978,0.00021093544023978,3.46682304567575,0.15,0,0.15,"M","",-155088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ACTRT2","chr1",2453027,2454326,1300,"*",-0.000265714294736346,0.000265714294736346,4.41747736326241,0.185,0,0.185,"M","",-567141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ACTRT2","chr1",2470200,2470403,204,"*",-0.000204681729767389,0.000204681729767389,3.3582936338041,0.365,0,0.365,"M","",-551064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","ACTRT2","chr1",2451246,2451317,72,"*",-0.000247444897877803,0.000247444897877803,4.10042288735389,0.26,0,0.26,"M","",-570150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","ACTRT2","chr1",3011913,3011943,31,"*",-0.000169934230206233,0.000169934230206233,2.75527152268594,0.495,0,0.495,"M","",-9524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ACTRT2","chr1",2629124,2629238,115,"*",-0.000164086146120426,0.000164086146120426,2.65378151460024,0.18,0,0.18,"M","",-392229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ACTRT2","chr1",2801580,2803066,1487,"*",-0.000195304648548241,0.000195304648548241,3.19555998723063,0.07,0,0.07,"M","",-218401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","ACTRT2","chr1",2846412,2847556,1145,"*",-0.000140727821057662,0.000140727821057662,2.2484117277256,0.105,0,0.105,"M","",-173911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
