"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"16","ABCA9","chr17",68963855,68963917,63,"*",23848115,23848118,"R","chr17:68963855-68963917","3CpGs","62bp",0.641,0.941,0.3,0.231,0.216,0.0428,"U",97032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ABCB5","chr7",20784576,20784621,46,"*",11078633,11078639,"R","chr7:20784576-20784621","6CpGs","45bp",0.745,0.343,0.402,0.353,0.314,0.0366,"M",168909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ABCB7","chrX",75309554,75310139,586,"*",28574626,28574632,"R","chrX:75309554-75310139","6CpGs","585bp",0.618,0.191,0.427,0.388,0.378,0.00704,"M",-152822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ABCB7","chrX",75164915,75166880,1966,"*",28573535,28573543,"R","chrX:75164915-75166880","8CpGs","1965bp",0.206,0.523,0.317,0.26,0.224,0.0497,"U",-8183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ABCB7","chrX",75293504,75294898,1395,"*",28574557,28574567,"R","chrX:75293504-75294898","10CpGs","1394bp",0.717,0.392,0.325,0.296,0.275,0.0167,"M",-136772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ABCB7","chrX",75343773,75345377,1605,"*",28574976,28574983,"R","chrX:75343773-75345377","7CpGs","1604bp",0.31,0.709,0.4,0.367,0.354,0.00642,"U",-187041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ABCB7","chrX",75158462,75159620,1159,"*",28573488,28573492,"R","chrX:75158462-75159620","4CpGs","1158bp",0.477,0.05,0.427,0.368,0.355,0.0161,"M",-1730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ABCB7","chrX",75179499,75179596,98,"*",28573745,28573754,"R","chrX:75179499-75179596","9CpGs","97bp",0.8,0.319,0.481,0.379,0.35,0.037,"M",-22767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ABCB7","chrX",75318011,75319171,1161,"*",28574688,28574706,"R","chrX:75318011-75319171","18CpGs","1160bp",0.957,0.417,0.54,0.475,0.451,0.0134,"M",-161279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ABCB7","chrX",75409360,75410580,1221,"*",28575304,28575314,"R","chrX:75409360-75410580","10CpGs","1220bp",0.914,0.495,0.419,0.391,0.38,0.00417,"M",-252628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ABCB7","chrX",75411955,75412723,769,"*",28575334,28575352,"R","chrX:75411955-75412723","18CpGs","768bp",0.756,0.211,0.545,0.45,0.402,0.0349,"M",-255223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ABCB8","chr7",150994600,150994692,93,"*",12305615,12305619,"R","chr7:150994600-150994692","4CpGs","92bp",0.469,0.812,0.343,0.316,0.3,0.00934,"U",-33730,"ENSG00000197150",2508.41304575554,-0.460205230236064,0.0691948242868,4.29902323304918e-12,8.97960635947342e-11,2027.69565592605,2057.55714112155,3027.80991428275,2668.57914552574,2151.66101709767,2887.78231838371,3097.01957275274,2149.19960095409,"protein_coding","ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]"
"28","ABCC11","chr16",48412341,48413019,679,"*",22333841,22333851,"R","chr16:48412341-48413019","10CpGs","678bp",0.6,0.926,0.326,0.293,0.259,0.0394,"U",-164773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ABCC12","chr16",47794666,47796376,1711,"*",22327689,22327697,"R","chr16:47794666-47796376","8CpGs","1710bp",0.628,0.932,0.304,0.268,0.239,0.0335,"U",359642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ABCC12","chr16",48072535,48072843,309,"*",22329944,22329948,"R","chr16:48072535-48072843","4CpGs","308bp",0.388,0.892,0.505,0.482,0.475,0.00175,"U",83175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ABCC12","chr16",47995547,47997473,1927,"*",22329198,22329203,"R","chr16:47995547-47997473","5CpGs","1926bp",0.838,0.511,0.326,0.265,0.244,0.0303,"M",158545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ABCC2","chr10",99838931,99838953,23,"*",16015768,16015773,"R","chr10:99838931-99838953","5CpGs","22bp",0.863,0.33,0.532,0.465,0.438,0.0156,"M",56291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ABCC9","chr12",21940971,21941134,164,"*",17988964,17988976,"R","chr12:21940971-21941134","12CpGs","163bp",0.0227,0.471,0.448,0.409,0.396,0.00671,"U",1409,"ENSG00000069431",64.7400806528696,1.16193418326324,0.226395969933526,4.11031809042131e-09,5.6674879078158e-08,94.3888996460649,82.119797206625,29.587719032079,46.841347933854,87.4289700878735,44.0823760438863,33.138393471827,100.333141800747,"protein_coding","ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]"
"34","ABCC9","chr12",21878344,21879901,1558,"*",17988596,17988603,"R","chr12:21878344-21879901","7CpGs","1557bp",0.304,0.84,0.536,0.44,0.41,0.0274,"U",62642,"ENSG00000069431",64.7400806528696,1.16193418326324,0.226395969933526,4.11031809042131e-09,5.6674879078158e-08,94.3888996460649,82.119797206625,29.587719032079,46.841347933854,87.4289700878735,44.0823760438863,33.138393471827,100.333141800747,"protein_coding","ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]"
"35","ABCC9","chr12",21815792,21816141,350,"*",17988208,17988211,"R","chr12:21815792-21816141","3CpGs","349bp",0.292,0.929,0.637,0.548,0.524,0.0164,"U",126402,"ENSG00000069431",64.7400806528696,1.16193418326324,0.226395969933526,4.11031809042131e-09,5.6674879078158e-08,94.3888996460649,82.119797206625,29.587719032079,46.841347933854,87.4289700878735,44.0823760438863,33.138393471827,100.333141800747,"protein_coding","ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]"
"36","ABCC9","chr12",21892901,21894807,1907,"*",17988674,17988689,"R","chr12:21892901-21894807","15CpGs","1906bp",0.935,0.615,0.319,0.248,0.236,0.0426,"M",47736,"ENSG00000069431",64.7400806528696,1.16193418326324,0.226395969933526,4.11031809042131e-09,5.6674879078158e-08,94.3888996460649,82.119797206625,29.587719032079,46.841347933854,87.4289700878735,44.0823760438863,33.138393471827,100.333141800747,"protein_coding","ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]"
"37","ABCC9","chr12",21920806,21921682,877,"*",17988843,17988849,"R","chr12:21920806-21921682","6CpGs","876bp",0.82,0.417,0.403,0.314,0.3,0.0423,"M",20861,"ENSG00000069431",64.7400806528696,1.16193418326324,0.226395969933526,4.11031809042131e-09,5.6674879078158e-08,94.3888996460649,82.119797206625,29.587719032079,46.841347933854,87.4289700878735,44.0823760438863,33.138393471827,100.333141800747,"protein_coding","ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]"
"38","ABCC9","chr12",21900472,21900955,484,"*",17988734,17988740,"R","chr12:21900472-21900955","6CpGs","483bp",0.325,0.633,0.308,0.272,0.252,0.0186,"U",41588,"ENSG00000069431",64.7400806528696,1.16193418326324,0.226395969933526,4.11031809042131e-09,5.6674879078158e-08,94.3888996460649,82.119797206625,29.587719032079,46.841347933854,87.4289700878735,44.0823760438863,33.138393471827,100.333141800747,"protein_coding","ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]"
"39","ABCE1","chr4",144880078,144880171,94,"*",7374558,7374563,"R","chr4:144880078-144880171","5CpGs","93bp",0.545,0.112,0.433,0.352,0.326,0.03,"M",-218117,"ENSG00000164163",3854.0833792086,0.34522066125288,0.0739300645940983,1.00254384728317e-06,9.26151074550581e-06,4166.43707614159,4436.75015463571,3323.68710460354,3759.70701504375,4305.59291653528,3347.94045428042,3046.83857692398,4445.71373550452,"protein_coding","ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]"
"40","ABCE1","chr4",144944469,144944798,330,"*",7374921,7374924,"R","chr4:144944469-144944798","3CpGs","329bp",0.142,0.6,0.458,0.429,0.4,0.0158,"U",-153490,"ENSG00000164163",3854.0833792086,0.34522066125288,0.0739300645940983,1.00254384728317e-06,9.26151074550581e-06,4166.43707614159,4436.75015463571,3323.68710460354,3759.70701504375,4305.59291653528,3347.94045428042,3046.83857692398,4445.71373550452,"protein_coding","ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]"
"41","ABCG2","chr4",88017770,88018197,428,"*",7004633,7004637,"R","chr4:88017770-88018197","4CpGs","427bp",0.522,0.958,0.436,0.366,0.333,0.0275,"U",213431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ABCG2","chr4",88185088,88185257,170,"*",7006206,7006210,"R","chr4:88185088-88185257","4CpGs","169bp",0.208,0.757,0.549,0.487,0.464,0.0117,"U",46371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ABHD2","chr15",89032072,89032138,67,"*",21570557,21570562,"R","chr15:89032072-89032138","5CpGs","66bp",0.702,0.193,0.509,0.403,0.381,0.036,"M",-55321,"ENSG00000140526",4780.39441997144,0.357359549285646,0.0688541193532419,6.47668354584567e-08,7.45908572230809e-07,5797.69935355417,4972.80994195673,4148.03383208063,4026.97823560751,5252.55085229224,4063.31234622068,4409.29995423709,5572.47084382243,"protein_coding","abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]"
"44","ABHD4","chr14",22624869,22625052,184,"*",19995379,19995384,"R","chr14:22624869-22625052","5CpGs","183bp",0.615,0.124,0.49,0.409,0.357,0.043,"M",26579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","ABLIM3","chr5",149217219,149217278,60,"*",8964983,8964986,"R","chr5:149217219-149217278","3CpGs","59bp",0.354,0.757,0.403,0.352,0.339,0.0137,"U",75736,"ENSG00000173210",28.0050389101036,0.498079558394073,0.287892129652806,0.00972611195636159,0.033323786749036,34.4241869297413,42.2004513422934,22.1907892740593,23.420673966927,36.3341174391163,21.6545005127863,15.1489798728352,28.6666119430705,"protein_coding","actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]"
"46","ABRA","chr8",107232224,107233987,1764,"*",13418648,13418656,"R","chr8:107232224-107233987","8CpGs","1763bp",0.166,0.869,0.703,0.604,0.591,0.0186,"U",-461980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","ABRA","chr8",107280292,107280362,71,"*",13418971,13418976,"R","chr8:107280292-107280362","5CpGs","70bp",0,0.58,0.58,0.561,0.56,0.00119,"U",-510048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","ABRA","chr8",107300993,107302721,1729,"*",13419097,13419103,"R","chr8:107300993-107302721","6CpGs","1728bp",0.087,0.523,0.436,0.371,0.326,0.04,"U",-530749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ABRA","chr8",107315349,107316782,1434,"*",13419179,13419187,"R","chr8:107315349-107316782","8CpGs","1433bp",0.329,0.837,0.508,0.463,0.444,0.00795,"U",-545105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ABRA","chr8",107322030,107322594,565,"*",13419214,13419218,"R","chr8:107322030-107322594","4CpGs","564bp",0.134,0.875,0.741,0.618,0.607,0.0274,"U",-551786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ABRA","chr8",107175867,107176169,303,"*",13418414,13418418,"R","chr8:107175867-107176169","4CpGs","302bp",0.756,0.318,0.438,0.349,0.333,0.0359,"M",-405623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","ABRACL","chr6",139121507,139121745,239,"*",10488310,10488313,"R","chr6:139121507-139121745","3CpGs","238bp",1,0.687,0.313,0.275,0.273,0.016,"M",92762,"ENSG00000146386",415.428032752779,0.607862652114057,0.125077686059746,7.01799756466469e-08,8.02211106237825e-07,448.624887729532,627.304006439496,331.21807694244,321.001002017293,514.35484999749,304.709757215635,329.490312234165,446.721369446182,"protein_coding","ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230]"
"53","ABRACL","chr6",139059127,139059468,342,"*",10487774,10487782,"R","chr6:139059127-139059468","8CpGs","341bp",0.756,0.286,0.47,0.37,0.329,0.0427,"M",30382,"ENSG00000146386",415.428032752779,0.607862652114057,0.125077686059746,7.01799756466469e-08,8.02211106237825e-07,448.624887729532,627.304006439496,331.21807694244,321.001002017293,514.35484999749,304.709757215635,329.490312234165,446.721369446182,"protein_coding","ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230]"
"54","ABRACL","chr6",139068166,139069772,1607,"*",10487871,10487884,"R","chr6:139068166-139069772","13CpGs","1606bp",0.41,0.0568,0.353,0.271,0.241,0.0465,"M",39421,"ENSG00000146386",415.428032752779,0.607862652114057,0.125077686059746,7.01799756466469e-08,8.02211106237825e-07,448.624887729532,627.304006439496,331.21807694244,321.001002017293,514.35484999749,304.709757215635,329.490312234165,446.721369446182,"protein_coding","ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230]"
"55","ABRACL","chr6",139061234,139061907,674,"*",10487793,10487810,"R","chr6:139061234-139061907","17CpGs","673bp",0.648,0.239,0.409,0.35,0.343,0.0195,"M",32489,"ENSG00000146386",415.428032752779,0.607862652114057,0.125077686059746,7.01799756466469e-08,8.02211106237825e-07,448.624887729532,627.304006439496,331.21807694244,321.001002017293,514.35484999749,304.709757215635,329.490312234165,446.721369446182,"protein_coding","ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230]"
"56","ABRACL","chr6",139105844,139106075,232,"*",10488187,10488191,"R","chr6:139105844-139106075","4CpGs","231bp",0.225,0.724,0.499,0.449,0.434,0.00888,"U",77099,"ENSG00000146386",415.428032752779,0.607862652114057,0.125077686059746,7.01799756466469e-08,8.02211106237825e-07,448.624887729532,627.304006439496,331.21807694244,321.001002017293,514.35484999749,304.709757215635,329.490312234165,446.721369446182,"protein_coding","ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230]"
"57","ACAA2","chr18",49952004,49952351,348,"*",24588627,24588630,"R","chr18:49952004-49952351","3CpGs","347bp",0.67,0.292,0.378,0.316,0.292,0.0251,"M",-138051,"ENSG00000167315",2357.24760153694,0.31141924361093,0.0952091598010339,0.000428076716575331,0.00220002668271571,2419.68720386795,3209.51540749226,2116.34379187787,2150.56894484547,2409.4061626814,2015.41529772575,2027.12286923376,2509.92113457106,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"58","ACAN","chr15",88739130,88739390,261,"*",21566483,21566488,"R","chr15:88739130-88739390","5CpGs","260bp",0.553,0.964,0.411,0.335,0.292,0.045,"U",-64046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","ACCS","chr11",43945037,43945310,274,"*",16829854,16829862,"R","chr11:43945037-43945310","8CpGs","273bp",0.0385,0.404,0.366,0.33,0.31,0.013,"U",-120615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ACKR3","chr2",236603221,236603428,208,"*",4465398,4465403,"R","chr2:236603221-236603428","5CpGs","207bp",0.149,0.633,0.484,0.433,0.412,0.0108,"U",35434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","ACKR3","chr2",236990734,236991189,456,"*",4470184,4470189,"R","chr2:236990734-236991189","5CpGs","455bp",0.53,0.854,0.324,0.278,0.25,0.03,"U",422947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","ACKR3","chr2",236527518,236527643,126,"*",4464258,4464262,"R","chr2:236527518-236527643","4CpGs","125bp",0.703,0.354,0.349,0.287,0.267,0.0271,"M",-40144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","ACKR3","chr2",236701284,236701656,373,"*",4466721,4466728,"R","chr2:236701284-236701656","7CpGs","372bp",0.862,0.55,0.312,0.262,0.257,0.025,"M",133497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ACMSD","chr2",134773569,134773902,334,"*",3663721,3663728,"R","chr2:134773569-134773902","7CpGs","333bp",0.508,0.183,0.324,0.286,0.254,0.0366,"M",-64714,"ENSG00000153086",17.0354266095266,-0.657277085263764,0.461464891471525,0.00818548905604997,0.0288550417381835,17.7673222863181,2.2811054779618,19.725146021386,31.6867941905483,13.6252940396686,23.2012505494139,20.8298473251484,7.16665298576763,"protein_coding","aminocarboxymuconate semialdehyde decarboxylase [Source:HGNC Symbol;Acc:HGNC:19288]"
"65","ACO2","chr22",41393645,41393934,290,"*",27659882,27659889,"R","chr22:41393645-41393934","7CpGs","289bp",0.817,0.271,0.547,0.428,0.403,0.0392,"M",-53896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","ACOT9","chrX",23672121,23672534,414,"*",28092653,28092663,"R","chrX:23672121-23672534","10CpGs","413bp",0.404,0.731,0.327,0.258,0.239,0.0363,"U",93941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ACOT9","chrX",23681492,23681947,456,"*",28092778,28092787,"R","chrX:23681492-23681947","9CpGs","455bp",0.103,0.931,0.828,0.798,0.795,0.00139,"U",84528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ACOT9","chrX",23690182,23690514,333,"*",28092894,28092903,"R","chrX:23690182-23690514","9CpGs","332bp",0,0.379,0.379,0.336,0.333,0.0141,"U",75961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","ACOT9","chrX",23742343,23743263,921,"*",28093684,28093730,"R","chrX:23742343-23743263","46CpGs","920bp",0.429,0.0261,0.403,0.362,0.332,0.0205,"M",23212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","ACOX3","chr4",8506750,8506886,137,"*",6407033,6407038,"R","chr4:8506750-8506886","5CpGs","136bp",0.537,0.875,0.338,0.283,0.25,0.0381,"U",-66027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ACOXL","chr2",110732811,110732842,32,"*",3431014,3431020,"R","chr2:110732811-110732842","6CpGs","31bp",0.771,0.292,0.479,0.408,0.375,0.0237,"M",272,"ENSG00000153093",64.8932602526084,-0.767979258097241,0.213398559895408,1.0529059278197e-05,7.88618048760115e-05,48.8601362873748,41.0598986033125,83.8318705908906,88.1719490519604,38.604999779061,75.0173767764381,91.8406904790633,51.7591604527662,"protein_coding","acyl-CoA oxidase like [Source:HGNC Symbol;Acc:HGNC:25621]"
"72","ACP1","chr2",176113,176342,230,"*",2376993,2376998,"R","chr2:176113-176342","5CpGs","229bp",0.175,0.477,0.302,0.255,0.229,0.0319,"U",-88551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","ACP7","chr19",39091588,39092201,614,"*",25618223,25618229,"R","chr19:39091588-39092201","6CpGs","613bp",0.372,0.0588,0.314,0.244,0.227,0.0403,"M",7675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","ACSBG2","chr19",6022142,6022261,120,"*",25065449,25065454,"R","chr19:6022142-6022261","5CpGs","119bp",0.623,0.964,0.341,0.303,0.297,0.0114,"U",-112986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","ACSF3","chr16",89009443,89009467,25,"*",22838591,22838596,"R","chr16:89009443-89009467","5CpGs","24bp",0.563,0.935,0.372,0.291,0.27,0.0383,"U",-78908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","ACSF3","chr16",89032147,89032375,229,"*",22839013,22839018,"R","chr16:89032147-89032375","5CpGs","228bp",0.0484,0.423,0.374,0.344,0.32,0.0166,"U",-56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","ACSF3","chr16",89039468,89039788,321,"*",22839244,22839251,"R","chr16:89039468-89039788","7CpGs","320bp",0.818,0.434,0.384,0.359,0.352,0.00368,"M",-48587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
