"","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","annotated_genes","dist_to_TSS"
"63","chr1",61139363,61139409,47,"*",860215,860218,"R","chr1:61139363-61139409","3CpGs","46bp",0.406,0.792,0.385,0.33,0.312,0.0178,"U","NFIA, TM2D1","274104, 586014"
"64","chr1",61852552,61853264,713,"*",866721,866727,"R","chr1:61852552-61853264","6CpGs","712bp",0.683,1,0.317,0.308,0.3,0.00276,"U","PATJ, L1TD1","110075, -341585"
"65","chr1",66929668,66929715,48,"*",909745,909748,"R","chr1:66929668-66929715","3CpGs","47bp",0.222,0.721,0.499,0.416,0.359,0.0491,"U","DNAI4","-4812"
"66","chr1",71324370,71326255,1886,"*",939736,939741,"R","chr1:71324370-71326255","5CpGs","1885bp",0.582,0.913,0.331,0.287,0.264,0.0217,"U","ZRANB2, NEGR1","-243081, 956284"
"67","chr1",78146824,78148450,1627,"*",981452,981462,"R","chr1:78146824-78148450","10CpGs","1626bp",0.625,0.937,0.312,0.27,0.248,0.022,"U","FUBP1, PTGFR","-167714, -155434"
"68","chr1",81313456,81313599,144,"*",999332,999336,"R","chr1:81313456-81313599","4CpGs","143bp",0.436,0.791,0.355,0.325,0.315,0.00649,"U","ADGRL2","7309"
"69","chr1",85813619,85813652,34,"*",1030082,1030086,"R","chr1:85813619-85813652","4CpGs","33bp",0.125,0.5,0.375,0.338,0.3,0.0377,"U","ZNHIT6, COL24A1","-105186, 343291"
"70","chr1",85927386,85927515,130,"*",1030751,1030760,"R","chr1:85927386-85927515","9CpGs","129bp",0.575,0.881,0.306,0.266,0.248,0.0176,"U","ZNHIT6, COL24A1","-218953, 229428"
"71","chr1",85928999,85930489,1491,"*",1030783,1030793,"R","chr1:85928999-85930489","10CpGs","1490bp",0.109,0.446,0.336,0.273,0.258,0.0298,"U","ZNHIT6, COL24A1","-220566, 226454"
"72","chr1",86551073,86551121,49,"*",1034846,1034852,"R","chr1:86551073-86551121","6CpGs","48bp",0.561,0.877,0.316,0.278,0.265,0.0127,"U","CLCA4, SH3GLB1","3995, -153449"
"73","chr1",86637360,86638384,1025,"*",1035397,1035404,"R","chr1:86637360-86638384","7CpGs","1024bp",0.0238,0.589,0.566,0.544,0.531,0.00211,"U","CLCA4, SH3GLB1","90282, -66186"
"74","chr1",90623550,90623628,79,"*",1064642,1064648,"R","chr1:90623550-90623628","6CpGs","78bp",0.167,0.798,0.631,0.507,0.5,0.0405,"U","ZNF326, BARHL2","628440, 93674"
"75","chr1",91082279,91084056,1778,"*",1069051,1069064,"R","chr1:91082279-91084056","13CpGs","1777bp",0.0464,0.453,0.406,0.382,0.374,0.00314,"U","ZNF644, HFM1","-60007, 320800"
"76","chr1",91546544,91546622,79,"*",1072631,1072635,"R","chr1:91546544-91546622","4CpGs","78bp",0.484,0.958,0.475,0.408,0.378,0.0204,"U","CDC7, TGFBR3","45693, 359713"
"77","chr1",108484415,108484504,90,"*",1186241,1186245,"R","chr1:108484415-108484504","4CpGs","89bp",0.2,0.51,0.31,0.258,0.231,0.0328,"U","NBPF6, EEIG2","63726, -75585"
"78","chr1",109636503,109636528,26,"*",1200875,1200878,"R","chr1:109636503-109636528","3CpGs","25bp",0.1,0.419,0.319,0.307,0.304,0.00118,"U","GNAT2, GSTM4","-16574, -19571"
"79","chr1",111042757,111042833,77,"*",1215923,1215928,"R","chr1:111042757-111042833","5CpGs","76bp",0.0588,0.67,0.611,0.55,0.519,0.0121,"U","LRIF1, CEPT1","-78792, -96646"
"80","chr1",111386235,111386742,508,"*",1218417,1218423,"R","chr1:111386235-111386742","6CpGs","507bp",0.163,0.583,0.42,0.351,0.329,0.0233,"U","CIMAP3, OVGP1","39635, 40993"
"81","chr1",112673621,112673761,141,"*",1230284,1230287,"R","chr1:112673621-112673761","3CpGs","140bp",0.292,0.633,0.342,0.289,0.267,0.0235,"U","MOV10","480"
"82","chr1",113015403,113015851,449,"*",1235734,1235737,"R","chr1:113015403-113015851","3CpGs","448bp",0.657,1,0.343,0.314,0.286,0.0267,"U","NUTF2P4, LRIG2","267308, -57347"
"83","chr1",116173056,116174798,1743,"*",1262842,1262847,"R","chr1:116173056-116174798","5CpGs","1742bp",0.536,0.899,0.363,0.306,0.286,0.0223,"U","MAB21L3, ATP1A1","61657, -197870"
"84","chr1",117217948,117218108,161,"*",1272760,1272765,"R","chr1:117217948-117218108","5CpGs","160bp",0.179,0.484,0.305,0.235,0.214,0.0432,"U","VTCN1, MAN1A2","-6988, -149341"
"85","chr1",119197926,119198802,877,"*",1286505,1286512,"R","chr1:119197926-119198802","7CpGs","876bp",0.108,0.648,0.539,0.43,0.412,0.0361,"U","WARS2, HAO2","-57272, -169977"
"86","chr1",119222575,119223266,692,"*",1286633,1286639,"R","chr1:119222575-119223266","6CpGs","691bp",0.129,0.586,0.457,0.424,0.405,0.00776,"U","WARS2, HAO2","-81921, -145513"
"87","chr1",119250850,119251491,642,"*",1286849,1286862,"R","chr1:119250850-119251491","13CpGs","641bp",0.468,0.918,0.45,0.389,0.371,0.0157,"U","WARS2, HAO2","-110196, -117288"
"88","chr1",120132191,120133105,915,"*",1293830,1293836,"R","chr1:120132191-120133105","6CpGs","914bp",0.423,0.859,0.436,0.417,0.414,0.00161,"U","NOTCH2, SEC22B","-31503, 43415"
"89","chr1",121391337,121391796,460,"*",1306305,1306309,"R","chr1:121391337-121391796","4CpGs","459bp",0.346,0.667,0.321,0.301,0.282,0.0141,"U","FAM72B, LINC02798","-205798, -4958"
"90","chr1",143226765,143226833,69,"*",1377015,1377018,"R","chr1:143226765-143226833","3CpGs","68bp",0.243,0.671,0.428,0.348,0.323,0.0298,"U","H3-7","679144"
"91","chr1",143405977,143407769,1793,"*",1380944,1380955,"R","chr1:143405977-143407769","11CpGs","1792bp",0,0.486,0.486,0.42,0.417,0.0198,"U","H3-7","498208"
"92","chr1",144730019,144730425,407,"*",1397110,1397114,"R","chr1:144730019-144730425","4CpGs","406bp",0.274,0.617,0.343,0.262,0.253,0.0497,"U","NBPF15, FAM72D","-268343, -365549"
"93","chr1",145431586,145431681,96,"*",1404985,1404991,"R","chr1:145431586-145431681","6CpGs","95bp",0.45,0.804,0.354,0.286,0.281,0.0378,"U","NBPF20, GPR89A","-5983, -176307"
"94","chr1",146325869,146326622,754,"*",1415566,1415574,"R","chr1:146325869-146326622","8CpGs","753bp",0.218,0.562,0.344,0.272,0.244,0.0401,"U","NOTCH2NLA, PPIAL4H","-96828, 18143"
"95","chr1",146427374,146427625,252,"*",1416981,1416985,"R","chr1:146427374-146427625","4CpGs","251bp",0.446,0.765,0.319,0.292,0.265,0.0278,"U","PPIAL4H, NBPF12","-82609, -510699"
"96","chr1",146563934,146564192,259,"*",1418403,1418407,"R","chr1:146563934-146564192","4CpGs","258bp",0.0333,0.438,0.404,0.328,0.308,0.0294,"U","PPIAL4H, NBPF12","-219169, -374132"
"97","chr1",146856346,146856371,26,"*",1421004,1421007,"R","chr1:146856346-146856371","3CpGs","25bp",0.523,0.867,0.344,0.301,0.288,0.0135,"U","PPIAL4H, NBPF12","-511581, -81953"
"98","chr1",147918067,147918142,76,"*",1430269,1430273,"R","chr1:147918067-147918142","4CpGs","75bp",0.179,0.508,0.33,0.283,0.264,0.0195,"U","GJA8, GPR89B","15272, -10251"
"99","chr1",148032540,148032785,246,"*",1431625,1431632,"R","chr1:148032540-148032785","7CpGs","245bp",0.24,0.667,0.427,0.38,0.343,0.0286,"U","GPR89B, NBPF11","104147, 119537"
"100","chr1",148161399,148161441,43,"*",1433597,1433600,"R","chr1:148161399-148161441","3CpGs","42bp",0.487,1,0.513,0.492,0.471,0.00679,"U","NBPF11, LOC124904396","-9077, 298372"
"101","chr1",148178121,148178152,32,"*",1433735,1433739,"R","chr1:148178121-148178152","4CpGs","31bp",0.482,0.972,0.491,0.411,0.356,0.0469,"U","NBPF11, LOC124904396","-25799, 281661"
"102","chr1",149406678,149407909,1232,"*",1446119,1446128,"R","chr1:149406678-149407909","9CpGs","1231bp",0.0921,0.579,0.486,0.405,0.357,0.0392,"U","NBPF19, PPIAL4C","16055, -175939"
"103","chr1",149724798,149726303,1506,"*",1449265,1449276,"R","chr1:149724798-149726303","11CpGs","1505bp",0.125,0.745,0.62,0.575,0.547,0.00836,"U","PPIAL4C, FCGR1A","140950, -56368"
"104","chr1",149734967,149735763,797,"*",1449336,1449342,"R","chr1:149734967-149735763","6CpGs","796bp",0.0192,0.492,0.472,0.398,0.385,0.0219,"U","PPIAL4C, FCGR1A","151119, -46908"
"105","chr1",150163246,150163349,104,"*",1455390,1455393,"R","chr1:150163246-150163349","3CpGs","103bp",0.205,0.653,0.447,0.405,0.364,0.0308,"U","PLEKHO1, ANP32E","14063, 72807"
"106","chr1",152462351,152462478,128,"*",1487056,1487059,"R","chr1:152462351-152462478","3CpGs","127bp",0.167,0.65,0.483,0.394,0.35,0.0381,"U","CRNN, LCE5A","-48088, -48325"
"107","chr1",153244410,153244881,472,"*",1491951,1491957,"R","chr1:153244410-153244881","6CpGs","471bp",0.0667,0.45,0.383,0.302,0.267,0.0442,"U","PRR9, LORICRIN","26826, -14806"
"108","chr1",153433277,153433307,31,"*",1493752,1493755,"R","chr1:153433277-153433307","3CpGs","30bp",0.206,0.766,0.56,0.428,0.408,0.0474,"U","S100A7A, S100A7","16757, 27344"
"109","chr1",154502444,154502548,105,"*",1510118,1510131,"R","chr1:154502444-154502548","13CpGs","104bp",0.0943,0.399,0.305,0.258,0.243,0.0204,"U","TDRD10, SHE","225, -32"
"110","chr1",155129400,155129416,17,"*",1520593,1520596,"R","chr1:155129400-155129416","3CpGs","16bp",0.552,0.856,0.305,0.253,0.235,0.0256,"U","EFNA1, SLC50A1","1524, -5928"
"111","chr1",156749751,156750011,261,"*",1548596,1548601,"R","chr1:156749751-156750011","5CpGs","260bp",0.516,0.868,0.352,0.334,0.326,0.0029,"U","PRCC","-599"
"112","chr1",161022641,161022784,144,"*",1585402,1585408,"R","chr1:161022641-161022784","6CpGs","143bp",0.22,0.754,0.533,0.484,0.438,0.0286,"U","ITLN2, F11R","-67832, 16178"
"113","chr1",161066577,161066783,207,"*",1586168,1586172,"R","chr1:161066577-161066783","4CpGs","206bp",0.396,0.748,0.352,0.322,0.305,0.01,"U","USF1, ARHGAP30","-20600, 3187"
"114","chr1",161455085,161455091,7,"*",1593124,1593127,"R","chr1:161455085-161455091","3CpGs","6bp",0.141,0.444,0.303,0.252,0.23,0.0283,"U","CFAP126, FCGR2A","-87209, -50339"
"115","chr1",161466619,161466816,198,"*",1594108,1594115,"R","chr1:161466619-161466816","7CpGs","197bp",0.185,0.613,0.428,0.356,0.321,0.0311,"U","CFAP126, FCGR2A","-98743, -38614"
"116","chr1",163865344,163865906,563,"*",1613218,1613223,"R","chr1:163865344-163865906","5CpGs","562bp",0.314,0.759,0.445,0.364,0.351,0.0287,"U","RGS5, PBX1","-543553, -689678"
"117","chr1",164405572,164405820,249,"*",1616164,1616168,"R","chr1:164405572-164405820","4CpGs","248bp",0.652,0.958,0.307,0.26,0.25,0.0202,"U","PBX1","-149764"
"118","chr1",164960022,164960149,128,"*",1620848,1620851,"R","chr1:164960022-164960149","3CpGs","127bp",0.508,0.854,0.346,0.275,0.241,0.0447,"U","PBX1, LMX1A","404438, 396566"
"119","chr1",165355396,165355418,23,"*",1623771,1623774,"R","chr1:165355396-165355418","3CpGs","22bp",0.283,0.636,0.353,0.345,0.336,0.00222,"U","PBX1, LMX1A","799812, 1297"
"120","chr1",165516904,165516937,34,"*",1625250,1625253,"R","chr1:165516904-165516937","3CpGs","33bp",0.333,0.726,0.393,0.336,0.333,0.0222,"U","RXRG, LRRC52","-71549, -27063"
"121","chr1",167041430,167042152,723,"*",1637067,1637072,"R","chr1:167041430-167042152","5CpGs","722bp",0.136,0.488,0.352,0.289,0.271,0.027,"U","ILDR2, STYXL2","-65890, -51923"
"122","chr1",169571907,169572695,789,"*",1658755,1658759,"R","chr1:169571907-169572695","4CpGs","788bp",0.113,0.427,0.315,0.283,0.275,0.00896,"U","SLC19A2, F5","-85963, 13893"
"123","chr1",169692394,169692505,112,"*",1659618,1659621,"R","chr1:169692394-169692505","3CpGs","111bp",0,0.343,0.343,0.289,0.286,0.0267,"U","FIRRM, SELL","30387, 19197"
"124","chr1",171442431,171442576,146,"*",1670947,1670952,"R","chr1:171442431-171442576","5CpGs","145bp",0.167,0.584,0.417,0.376,0.362,0.00879,"U","FMO4, PRRC2C","128248, -42954"
"125","chr1",177620795,177620955,161,"*",1715298,1715301,"R","chr1:177620795-177620955","3CpGs","160bp",0.292,0.619,0.327,0.261,0.238,0.0354,"U","BRINP2, SEC16B","449837, 363348"
"126","chr1",181275881,181275921,41,"*",1750586,1750589,"R","chr1:181275881-181275921","3CpGs","40bp",0.438,0.958,0.521,0.45,0.417,0.0202,"U","IER5, CACNA1E","187181, -41769"
"127","chr1",181785090,181785539,450,"*",1754647,1754650,"R","chr1:181785090-181785539","3CpGs","449bp",0.267,0.664,0.398,0.338,0.303,0.0315,"U","CACNA1E, ZNF648","467400, 283714"
"128","chr1",181791199,181791468,270,"*",1754703,1754713,"R","chr1:181791199-181791468","10CpGs","269bp",0.406,0.789,0.383,0.293,0.27,0.0448,"U","CACNA1E, ZNF648","473509, 277785"
"129","chr1",181793334,181793692,359,"*",1754734,1754738,"R","chr1:181793334-181793692","4CpGs","358bp",0.158,0.762,0.604,0.502,0.485,0.0254,"U","CACNA1E, ZNF648","475644, 275561"
"130","chr1",183360691,183360990,300,"*",1768655,1768659,"R","chr1:183360691-183360990","4CpGs","299bp",0.123,0.562,0.439,0.348,0.312,0.0392,"U","LAMC2, NMNAT2","174453, 57390"
"131","chr1",185909209,185909293,85,"*",1788230,1788233,"R","chr1:185909209-185909293","3CpGs","84bp",0.494,0.873,0.379,0.325,0.286,0.0408,"U","HMCN1, PRG4","174818, -386986"
"132","chr1",187776557,187776872,316,"*",1799801,1799805,"R","chr1:187776557-187776872","4CpGs","315bp",0.476,0.887,0.411,0.371,0.342,0.0195,"U","PLA2G4A","947608"
"133","chr1",189658386,189658832,447,"*",1809920,1809924,"R","chr1:189658386-189658832","4CpGs","446bp",0.0469,0.414,0.367,0.342,0.318,0.0159,"U","BRINP3","819032"
"134","chr1",191315779,191315826,48,"*",1818675,1818680,"R","chr1:191315779-191315826","5CpGs","47bp",0.41,0.896,0.486,0.462,0.456,0.00223,"U","BRINP3, RGS18","-837915, -842636"
"135","chr1",191555811,191556732,922,"*",1819983,1819987,"R","chr1:191555811-191556732","4CpGs","921bp",0.05,0.361,0.311,0.26,0.233,0.0322,"U","RGS18","-601730"
"136","chr1",191703624,191703688,65,"*",1820661,1820668,"R","chr1:191703624-191703688","7CpGs","64bp",0.654,0.963,0.309,0.244,0.213,0.0479,"U","RGS18","-454774"
"137","chr1",193469046,193469159,114,"*",1831701,1831704,"R","chr1:193469046-193469159","3CpGs","113bp",0.33,0.764,0.433,0.376,0.352,0.0172,"U","B3GALT2","-282433"
"138","chr1",193530818,193531823,1006,"*",1832005,1832010,"R","chr1:193530818-193531823","5CpGs","1005bp",0.333,0.764,0.431,0.376,0.333,0.0364,"U","B3GALT2","-344205"
"139","chr1",193673895,193674465,571,"*",1832817,1832824,"R","chr1:193673895-193674465","7CpGs","570bp",0.24,0.673,0.433,0.391,0.376,0.00849,"U","B3GALT2","-487282"
