start,end,chrom,gene_symbol,segment_id,length
9910798,9911962,chrY,TTTY23,chrY:9910798-9911962,1164
20570222,20570519,chrY,KDM5DP1,chrY:20570222-20570519,297
6449468,6457906,chrY,TTTY7,chrY:6449468-6457906,8438
25378300,25394719,chrY,LINC00266-4P,chrY:25378300-25394719,16419
8550518,8713825,chrY,LINC00279,chrY:8550518-8713825,163307
11314921,11316187,chrY,DUX4L17,chrY:11314921-11316187,1266
22490397,22514637,chrY,PRY,chrY:22490397-22514637,24240
9869664,9870781,chrY,TSPY18P,chrY:9869664-9870781,1117
10173853,10174207,chrY,PCMTD1P1,chrY:10173853-10174207,354
23936727,23941622,chrY,TTTY3B,chrY:23936727-23941622,4895
26626520,26627159,chrY,CCNQP2,chrY:26626520-26627159,639
25871931,25898653,chrY,OFD1P18Y,chrY:25871931-25898653,26722
22537047,22537849,chrY,HSFY7P,chrY:22537047-22537849,802
25266584,25273531,chrY,RBMY2YP,chrY:25266584-25273531,6947
23659466,23667822,chrY,USP9YP18,chrY:23659466-23667822,8356
26002254,26008856,chrY,USP9YP26,chrY:26002254-26008856,6602
20907344,20907562,chrY,TMEM167AP1,chrY:20907344-20907562,218
23762838,23765583,chrY,TRAPPC2P9,chrY:23762838-23765583,2745
21493519,21501968,chrY,RBMY1HP,chrY:21493519-21501968,8449
5337745,5338964,chrY,EIF4A1P2,chrY:5337745-5338964,1219
8350931,8352143,chrY,ZNF736P6Y,chrY:8350931-8352143,1212
5887504,5888740,chrY,TUSC2P1,chrY:5887504-5888740,1236
21927521,21937150,chrY,RBMY2AP,chrY:21927521-21937150,9629
9458613,9466003,chrY,FAM197Y5,chrY:9458613-9466003,7390
6406244,6462091,chrY,TTTY2B,chrY:6406244-6462091,55847
14056227,14056958,chrY,VCY1B,chrY:14056227-14056958,731
23715922,23726808,chrY,XKRYP3,chrY:23715922-23726808,10886
9717653,9721296,chrY,TTTY21,chrY:9717653-9721296,3643
15348662,15456074,chrY,PUDPP1,chrY:15348662-15456074,107412
11085476,11086061,chrY,CDRT15P10,chrY:11085476-11086061,585
12537650,12860839,chrY,USP9Y,chrY:12537650-12860839,323189
9166085,9167702,chrY,CDY3P,chrY:9166085-9167702,1617
8068445,8126293,chrY,ZNF736P9Y,chrY:8068445-8126293,57848
21468158,21470683,chrY,TSPY14P,chrY:21468158-21470683,2525
24276245,24277026,chrY,LINC00265-2P,chrY:24276245-24277026,781
22071756,22096007,chrY,PRY2,chrY:22071756-22096007,24251
25675060,25697346,chrY,OFD1P13Y,chrY:25675060-25697346,22286
25991241,25991572,chrY,ELOCP11,chrY:25991241-25991572,331
9624183,9626352,chrY,TSPY25P,chrY:9624183-9626352,2169
21696570,21698220,chrY,CDY11P,chrY:21696570-21698220,1650
26508213,26579690,chrY,TPTE2P4,chrY:26508213-26579690,71477
23919905,23921510,chrY,USP9YP13,chrY:23919905-23921510,1605
21972313,22005349,chrY,OFD1P8Y,chrY:21972313-22005349,33036
3777997,3779546,chrY,RNF19BPY,chrY:3777997-3779546,1549
22183850,22186021,chrY,TSPY23P,chrY:22183850-22186021,2171
25752388,25752870,chrY,XKRYP5,chrY:25752388-25752870,482
9517599,9526926,chrY,FAM197Y2,chrY:9517599-9526926,9327
17516836,17519038,chrY,TUBB1P2,chrY:17516836-17519038,2202
25388992,25391811,chrY,CICP1,chrY:25388992-25391811,2819
10171590,10172725,chrY,DUX4L31,chrY:10171590-10172725,1135
9905595,9908139,chrY,TSPY13P,chrY:9905595-9908139,2544
11395699,11397076,chrY,ACTR3BP1,chrY:11395699-11397076,1377
12244752,12245457,chrY,RPS24P1,chrY:12244752-12245457,705
22308859,22321825,chrY,RBMY2FP,chrY:22308859-22321825,12966
25730011,25735160,chrY,USP9YP9,chrY:25730011-25735160,5149
24183434,24187231,chrY,CSPG4P2Y,chrY:24183434-24187231,3797
26123674,26133308,chrY,RBMY2DP,chrY:26123674-26133308,9634
6390431,6411564,chrY,TTTY1B,chrY:6390431-6411564,21133
21661926,21674008,chrY,USP9YP3,chrY:21661926-21674008,12082
19986575,19987852,chrY,RCC2P2,chrY:19986575-19987852,1277
7913422,7914090,chrY,ZNF736P8Y,chrY:7913422-7914090,668
25431156,25437315,chrY,UBE2Q2P5Y,chrY:25431156-25437315,6159
25486640,25487322,chrY,DNM1P48,chrY:25486640-25487322,682
9951553,9959423,chrY,RBMY2OP,chrY:9951553-9959423,7870
20575776,20593154,chrY,EIF1AY,chrY:20575776-20593154,17378
20808776,20811809,chrY,HSFY4P,chrY:20808776-20811809,3033
5573145,5574431,chrY,KRT18P10,chrY:5573145-5574431,1286
25564122,25566033,chrY,CDY19P,chrY:25564122-25566033,1911
21221106,21222089,chrY,NEFLP1,chrY:21221106-21222089,983
6303957,6305074,chrY,TSPY19P,chrY:6303957-6305074,1117
22973819,23005465,chrY,BPY2,chrY:22973819-23005465,31646
11445418,11445564,chrY,MTND1P12,chrY:11445418-11445564,146
23945927,23952293,chrY,USP9YP12,chrY:23945927-23952293,6366
24104107,24106018,chrY,CDY18P,chrY:24104107-24106018,1911
15547216,15593331,chrY,STSP1,chrY:15547216-15593331,46115
56855244,56855488,chrY,CTBP2P1,chrY:56855244-56855488,244
8363536,8363959,chrY,MTND6P1,chrY:8363536-8363959,423
6158802,6159265,chrY,DLGAP5P1,chrY:6158802-6159265,463
10190377,10192298,chrY,CDC27P2,chrY:10190377-10192298,1921
6470773,6473630,chrY,TTTY8B,chrY:6470773-6473630,2857
11335627,11337693,chrY,PABPC1P5,chrY:11335627-11337693,2066
22305925,22307951,chrY,TSPY22P,chrY:22305925-22307951,2026
25699451,25702562,chrY,TRAPPC2P5,chrY:25699451-25702562,3111
23674379,23675392,chrY,CDY14P,chrY:23674379-23675392,1013
11781052,11782527,chrY,RCC2P1,chrY:11781052-11782527,1475
12537773,12544883,chrY,SHROOM2P1,chrY:12537773-12544883,7110
9740584,9758476,chrY,TTTY2,chrY:9740584-9758476,17892
24494709,24495583,chrY,TRIM60P5Y,chrY:24494709-24495583,874
26011435,26012237,chrY,HSFY8P,chrY:26011435-26012237,802
9183694,9185803,chrY,USP9YP22,chrY:9183694-9185803,2109
8682594,8700977,chrY,TTTY18,chrY:8682594-8700977,18383
9954532,10035299,chrY,RBMY2QP,chrY:9954532-10035299,80767
11321557,11322823,chrY,DUX4L18,chrY:11321557-11322823,1266
23934953,23940101,chrY,USP9YP11,chrY:23934953-23940101,5148
23734193,23736249,chrY,USP9YP25,chrY:23734193-23736249,2056
14081075,14086600,chrY,PNPLA4P1,chrY:14081075-14086600,5525
9640249,9640716,chrY,TSPY16P,chrY:9640249-9640716,467
22649245,22658878,chrY,RBMY2BP,chrY:22649245-22658878,9633
25994684,25995697,chrY,CDY23P,chrY:25994684-25995697,1013
6328052,6343323,chrY,RBMY2GP,chrY:6328052-6343323,15271
25478269,25483630,chrY,CSPG4P4Y,chrY:25478269-25483630,5361
24278337,24281140,chrY,CICP2,chrY:24278337-24281140,2803
23808821,23809059,chrY,ELOCP9,chrY:23808821-23809059,238
26549425,26549743,chrY,CYCSP49,chrY:26549425-26549743,318
22866544,22867756,chrY,ZNF736P11Y,chrY:22866544-22867756,1212
22580989,22614081,chrY,OFD1P9Y,chrY:22580989-22614081,33092
21382954,21386360,chrY,PRORY,chrY:21382954-21386360,3406
7932997,7937640,chrY,BPY2DP,chrY:7932997-7937640,4643
25904518,25907250,chrY,TRAPPC2P4,chrY:25904518-25907250,2732
23678504,23678835,chrY,ELOCP16,chrY:23678504-23678835,331
23581595,23614640,chrY,OFD1P10Y,chrY:23581595-23614640,33045
25918323,25918895,chrY,RAB9AP3,chrY:25918323-25918895,572
24186509,24191870,chrY,CSPG4P3Y,chrY:24186509-24191870,5361
25709908,25713557,chrY,RAB9AP2,chrY:25709908-25713557,3649
25748596,25750206,chrY,USP9YP19,chrY:25748596-25750206,1610
8127130,8144203,chrY,RBMY2JP,chrY:8127130-8144203,17073
25454561,25460572,chrY,GOLGA2P3Y,chrY:25454561-25460572,6011
11412548,11418716,chrY,CHEK2P1,chrY:11412548-11418716,6168
21430697,21437245,chrY,RBMY2TP,chrY:21430697-21437245,6548
23740258,23746693,chrY,USP9YP29,chrY:23740258-23746693,6435
25579790,25588444,chrY,USP9YP36,chrY:25579790-25588444,8654
22198429,22203712,chrY,RBMY2UP,chrY:22198429-22203712,5283
17552800,17579754,chrY,FAM224B,chrY:17552800-17579754,26954
20001185,20012204,chrY,ZNF886P,chrY:20001185-20012204,11019
23771232,23798150,chrY,OFD1P11Y,chrY:23771232-23798150,26918
22517242,22517573,chrY,ELOCP8,chrY:22517242-22517573,331
21817579,21818218,chrY,OFD1P16Y,chrY:21817579-21818218,639
22330452,22332500,chrY,TTTY25P,chrY:22330452-22332500,2048
9544917,9547147,chrY,FAM197Y1,chrY:9544917-9547147,2230
26198331,26208148,chrY,REREP2Y,chrY:26198331-26208148,9817
11922536,11923769,chrY,ASS1P6,chrY:11922536-11923769,1233
11178306,11178816,chrY,SNX18P1Y,chrY:11178306-11178816,510
9831418,9846696,chrY,RBMY2NP,chrY:9831418-9846696,15278
9753156,9774289,chrY,TTTY1,chrY:9753156-9774289,21133
9189629,9204611,chrY,USP9YP4,chrY:9189629-9204611,14982
24500263,24501505,chrY,ZNF736P12Y,chrY:24500263-24501505,1242
21677246,21681118,chrY,USP9YP8,chrY:21677246-21681118,3872
12618983,12634402,chrY,MED14P1,chrY:12618983-12634402,15419
24232826,24238984,chrY,UBE2Q2P4Y,chrY:24232826-24238984,6158
22048554,22049347,chrY,HSFY5P,chrY:22048554-22049347,793
20390051,20396796,chrY,ZNF885P,chrY:20390051-20396796,6745
12252321,12258033,chrY,ARSFP1,chrY:12252321-12258033,5712
7990987,7991806,chrY,ZNF736P7Y,chrY:7990987-7991806,819
17192826,17193652,chrY,SURF6P1,chrY:17192826-17193652,826
12440046,12507369,chrY,XGY1,chrY:12440046-12507369,67323
11173618,11173821,chrY,ANKRD20A6P,chrY:11173618-11173821,203
26055779,26088493,chrY,OFD1P15Y,chrY:26055779-26088493,32714
24049878,24051487,chrY,CDY17P,chrY:24049878-24051487,1609
9691100,9693957,chrY,TTTY8,chrY:9691100-9693957,2857
23751188,23751760,chrY,RAB9AP1,chrY:23751188-23751760,572
25168599,25169841,chrY,ZNF736P4Y,chrY:25168599-25169841,1242
8264449,8277188,chrY,RBMY2KP,chrY:8264449-8277188,12739
23657839,23659058,chrY,HSFY6P,chrY:23657839-23659058,1219
22400403,22402568,chrY,TSPY21P,chrY:22400403-22402568,2165
23855522,23857091,chrY,CDY15P,chrY:23855522-23857091,1569
8704472,8705283,chrY,TTTY19,chrY:8704472-8705283,811
25923388,25929826,chrY,USP9YP20,chrY:25923388-25929826,6438
6520463,6520929,chrY,TSPY17P,chrY:6520463-6520929,466
22936455,22973284,chrY,TTTY4,chrY:22936455-22973284,36829
9548108,9550681,chrY,TSPY15P,chrY:9548108-9550681,2573
25943268,25954152,chrY,XKRYP6,chrY:25943268-25954152,10884
24077799,24079812,chrY,USP9YP35,chrY:24077799-24079812,2013
20861337,20862337,chrY,GAPDHP17,chrY:20861337-20862337,1000
9230915,9231247,chrY,ELOCP4,chrY:9230915-9231247,332
6242446,6245283,chrY,TTTY23B,chrY:6242446-6245283,2837
25723016,25724186,chrY,USP9YP30,chrY:25723016-25724186,1170
9784372,9833895,chrY,TTTY22,chrY:9784372-9833895,49523
6266593,6269275,chrY,TSPY11P,chrY:6266593-6269275,2682
9487313,9489893,chrY,TSPY9P,chrY:9487313-9489893,2580
11957208,11987386,chrY,MXRA5Y,chrY:11957208-11987386,30178
11306918,11308181,chrY,DUX4L16,chrY:11306918-11308181,1263
9527880,9530682,chrY,TSPY10,chrY:9527880-9530682,2802
8364032,8365150,chrY,MTCYBP1,chrY:8364032-8365150,1118
5634480,5634655,chrY,SNX3P1Y,chrY:5634480-5634655,175
22049755,22058113,chrY,USP9YP17,chrY:22049755-22058113,8358
23956569,23960218,chrY,RAB9AP5,chrY:23956569-23960218,3649
22851584,22852715,chrY,TTTY17A,chrY:22851584-22852715,1131
3293808,3294826,chrY,AGPAT5P1,chrY:3293808-3294826,1018
10036195,10038375,chrY,TSPY20P,chrY:10036195-10038375,2180
17500958,17515018,chrY,FAM41AY1,chrY:17500958-17515018,14060
22144966,22146831,chrY,TTTY6B,chrY:22144966-22146831,1865
22068820,22069151,chrY,ELOCP15,chrY:22068820-22069151,331
24283062,24283230,chrY,LINC00266-2P,chrY:24283062-24283230,168
9479053,9486313,chrY,FAM197Y4,chrY:9479053-9486313,7260
8413037,8414054,chrY,TRIM60P3Y,chrY:8413037-8414054,1017
23681440,23694579,chrY,PRYP3,chrY:23681440-23694579,13139
25933833,25935881,chrY,USP9YP21,chrY:25933833-25935881,2048
8371663,8372030,chrY,MTND1P1,chrY:8371663-8372030,367
24570202,24607025,chrY,TTTY4B,chrY:24570202-24607025,36823
25590323,25592345,chrY,USP9YP33,chrY:25590323-25592345,2022
25975549,25988069,chrY,PRYP4,chrY:25975549-25988069,12520
5793300,5793737,chrY,RPL26P37,chrY:5793300-5793737,437
6357219,6369921,chrY,LINC00280,chrY:6357219-6369921,12702
3549652,3549810,chrY,PRRC2CP1,chrY:3549652-3549810,158
21511372,21549326,chrY,RBMY1A1,chrY:21511372-21549326,37954
25182277,25213389,chrY,TTTY17C,chrY:25182277-25213389,31112
10066554,10069151,chrY,TSPY5P,chrY:10066554-10069151,2597
21631683,21632015,chrY,ELOCP5,chrY:21631683-21632015,332
23967564,23970694,chrY,TRAPPC2P10,chrY:23967564-23970694,3130
23917241,23917723,chrY,XKRYP4,chrY:23917241-23917723,482
25728490,25733388,chrY,TTTY3,chrY:25728490-25733388,4898
8418791,8419900,chrY,ZNF736P10Y,chrY:8418791-8419900,1109
26400611,26401230,chrY,CYCSP48,chrY:26400611-26401230,619
9466955,9469749,chrY,TSPY1,chrY:9466955-9469749,2794
22064698,22065712,chrY,CDY12P,chrY:22064698-22065712,1014
5000226,5742224,chrY,PCDH11Y,chrY:5000226-5742224,741998
8372241,8372710,chrY,MTND2P3,chrY:8372241-8372710,469
25618644,25620253,chrY,CDY20P,chrY:25618644-25620253,1609
22520681,22521695,chrY,CDY13P,chrY:22520681-22521695,1014
22209331,22216580,chrY,RBMY1KP,chrY:22209331-22216580,7249
22403461,22417881,chrY,RBMY1J,chrY:22403461-22417881,14420
24168187,24174494,chrY,GOLGA6L11P,chrY:24168187-24174494,6307
8783310,8817382,chrY,TTTY11,chrY:8783310-8817382,34072
23972780,23995081,chrY,OFD1P12Y,chrY:23972780-23995081,22301
25813013,25814566,chrY,CDY22P,chrY:25813013-25814566,1553
20756108,20781032,chrY,RPS4Y2,chrY:20756108-20781032,24924
21637475,21639041,chrY,CDY10P,chrY:21637475-21639041,1566
6443434,6450685,chrY,TTTY21B,chrY:6443434-6450685,7251
26409815,26420535,chrY,ANKRD36P1,chrY:26409815-26420535,10720
24179316,24183505,chrY,DNM1P24,chrY:24179316-24183505,4189
12354096,12387328,chrY,ARSDP1,chrY:12354096-12387328,33232
21511338,21549094,chrY,RBMY1B,chrY:21511338-21549094,37756
22296798,22298876,chrY,TTTY5,chrY:22296798-22298876,2078
24396604,24403526,chrY,RBMY2XP,chrY:24396604-24403526,6922
12801973,12803830,chrY,CDY4P,chrY:12801973-12803830,1857
25860943,25861268,chrY,ELOCP17,chrY:25860943-25861268,325
25495651,25501958,chrY,GOLGA6L16P,chrY:25495651-25501958,6307
25622162,25624902,chrY,CDY1,chrY:25622162-25624902,2740
21880076,21894526,chrY,RBMY1D,chrY:21880076-21894526,14450
22762851,22769787,chrY,RBMY2WP,chrY:22762851-22769787,6936
22528281,22536639,chrY,USP9YP24,chrY:22528281-22536639,8358
24006911,24007237,chrY,ELOCP10,chrY:24006911-24007237,326
21565092,21605081,chrY,TTTY13,chrY:21565092-21605081,39989
25662900,25663226,chrY,ELOCP34,chrY:25662900-25663226,326
26277923,26354418,chrY,PPP1R12BP1,chrY:26277923-26354418,76495
24485332,24486463,chrY,TTTY17B,chrY:24485332-24486463,1131
26586642,26591601,chrY,SLC25A15P1,chrY:26586642-26591601,4959
20464916,20575519,chrY,TTTY10,chrY:20464916-20575519,110603
3866306,3866722,chrY,UBE2V1P3,chrY:3866306-3866722,416
12321623,12322835,chrY,FAM8A4P,chrY:12321623-12322835,1212
26594851,26634652,chrY,PARP4P1,chrY:26594851-26634652,39801
24607560,24639207,chrY,BPY2B,chrY:24607560-24639207,31647
24209567,24215581,chrY,GOLGA2P2Y,chrY:24209567-24215581,6014
12339813,12347495,chrY,ARSLP1,chrY:12339813-12347495,7682
21394991,21401585,chrY,RBMY2EP,chrY:21394991-21401585,6594
23025594,23026663,chrY,TRIM60P8Y,chrY:23025594-23026663,1069
6256267,6265595,chrY,FAM197Y9,chrY:6256267-6265595,9328
20727254,20742900,chrY,TBL1YP1,chrY:20727254-20742900,15646
9497287,9506596,chrY,FAM197Y3,chrY:9497287-9506596,9309
14907898,14908068,chrY,MED13P1,chrY:14907898-14908068,170
9507596,9510175,chrY,TSPY6P,chrY:9507596-9510175,2579
14941547,14941750,chrY,CYCSP46,chrY:14941547-14941750,203
4174985,4175090,chrY,RNU6-303P,chrY:4174985-4175090,105
5019076,5019266,chrY,RNU2-57P,chrY:5019076-5019266,190
10090410,10090528,chrY,RNA5SP518,chrY:10090410-10090528,118
12273473,12273764,chrY,RN7SL702P,chrY:12273473-12273764,291
17557864,17557976,chrY,RNA5SP520,chrY:17557864-17557976,112
17559774,17559889,chrY,RNA5SP521,chrY:17559774-17559889,115
16248935,16249041,chrY,RNU6-109P,chrY:16248935-16249041,106
10200155,10200306,chrY,RNA5-8SP6,chrY:10200155-10200306,151
23946618,23946771,chrY,RNU1-86P,chrY:23946618-23946771,153
10092875,10092993,chrY,RNA5SP519,chrY:10092875-10092993,118
24210958,24211216,chrY,RN7SL818P,chrY:24210958-24211216,258
16336283,16336389,chrY,RNU6-184P,chrY:16336283-16336389,106
25723342,25723495,chrY,RNU1-107P,chrY:25723342-25723495,153
25458926,25459184,chrY,RN7SL725P,chrY:25458926-25459184,258
25928979,25929142,chrY,RNU1-40P,chrY:25928979-25929142,163
26360989,26361092,chrY,RNU6-1314P,chrY:26360989-26361092,103
26247384,26247521,chrY,SNORA70,chrY:26247384-26247521,137
23740942,23741105,chrY,RNU1-97P,chrY:23740942-23741105,163
18674033,18739197,chrY,OFD1P6Y,chrY:18674033-18739197,65164
18731440,18773735,chrY,HSFY2,chrY:18731440-18773735,42295
18741843,18741986,chrY,GPM6BP2,chrY:18741843-18741986,143
18776279,18779427,chrY,USP9YP2,chrY:18776279-18779427,3148
18787750,18788080,chrY,ELOCP14,chrY:18787750-18788080,330
18790709,18791051,chrY,PRYP6,chrY:18790709-18791051,342
18811338,18811829,chrY,XKRYP2,chrY:18811338-18811829,491
18826107,18829487,chrY,USP9YP10,chrY:18826107-18829487,3380
18833002,18839313,chrY,USP9YP28,chrY:18833002-18839313,6311
18833729,18833890,chrY,RNU1-41P,chrY:18833729-18833890,161
18848264,18867280,chrY,OFD1P7Y,chrY:18848264-18867280,19016
18872102,18872272,chrY,MTCYBP2,chrY:18872102-18872272,170
18985175,18986398,chrY,ZNF839P1,chrY:18985175-18986398,1223
18992467,18992709,chrY,CD24P4,chrY:18992467-18992709,242
19018983,19019087,chrY,RNU6-255P,chrY:19018983-19019087,104
19327569,19328573,chrY,GAPDHP19,chrY:19327569-19328573,1004
17621259,17625832,chrY,CLUHP1,chrY:17621259-17625832,4573
17628513,17629402,chrY,TAF9P1,chrY:17628513-17629402,889
17721598,17723177,chrY,CDY5P,chrY:17721598-17723177,1579
17726752,17727080,chrY,ELOCP36,chrY:17726752-17727080,328
17729528,17744596,chrY,PRYP1,chrY:17729528-17744596,15068
17757001,17758125,chrY,ACTG1P2,chrY:17757001-17758125,1124
17768980,17777400,chrY,XKRY,chrY:17768980-17777400,8420
17782210,17784815,chrY,USP9YP23,chrY:17782210-17784815,2605
17788315,17789484,chrY,USP9YP27,chrY:17788315-17789484,1169
17789003,17789162,chrY,RNU1-128P,chrY:17789003-17789162,159
17797983,17800696,chrY,TRAPPC2P3,chrY:17797983-17800696,2713
17809807,17825329,chrY,OFD1P1Y,chrY:17809807-17825329,15522
17837201,17837528,chrY,ELOCP6,chrY:17837201-17837528,327
17882099,17883708,chrY,CDY6P,chrY:17882099-17883708,1609
17908755,17910806,chrY,USP9YP7,chrY:17908755-17910806,2051
17912699,17921630,chrY,USP9YP6,chrY:17912699-17921630,8931
17951589,17953500,chrY,CDY7P,chrY:17951589-17953500,1911
17984349,17993260,chrY,USP9YP34,chrY:17984349-17993260,8911
17995201,17997252,chrY,USP9YP32,chrY:17995201-17997252,2051
18022299,18023908,chrY,CDY8P,chrY:18022299-18023908,1609
18068483,18068810,chrY,ELOCP12,chrY:18068483-18068810,327
18080681,18096202,chrY,OFD1P2Y,chrY:18080681-18096202,15521
18105314,18108102,chrY,TRAPPC2P8,chrY:18105314-18108102,2788
18116527,18117695,chrY,USP9YP15,chrY:18116527-18117695,1168
18116848,18117007,chrY,RNU1-95P,chrY:18116848-18117007,159
18121195,18123799,chrY,USP9YP16,chrY:18121195-18123799,2604
18128610,18137029,chrY,XKRY2,chrY:18128610-18137029,8419
18147884,18149008,chrY,ACTG1P11,chrY:18147884-18149008,1124
18161366,18176484,chrY,PRYP2,chrY:18161366-18176484,15118
18178932,18179260,chrY,ELOCP26,chrY:18178932-18179260,328
18182835,18184414,chrY,CDY9P,chrY:18182835-18184414,1579
18276607,18277495,chrY,TAF9P2,chrY:18276607-18277495,888
18280178,18284761,chrY,CLUHP2,chrY:18280178-18284761,4583
18326253,18353210,chrY,FAM224A,chrY:18326253-18353210,26957
18346123,18346238,chrY,RNA5SP522,chrY:18346123-18346238,115
18348035,18348147,chrY,RNA5SP523,chrY:18348035-18348147,112
18386974,18389151,chrY,TUBB1P1,chrY:18386974-18389151,2177
18390994,18405046,chrY,FAM41AY2,chrY:18390994-18405046,14052
18440797,18441125,chrY,ELOCP13,chrY:18440797-18441125,328
18453150,18472137,chrY,OFD1P4Y,chrY:18453150-18472137,18987
18481087,18487400,chrY,USP9YP14,chrY:18481087-18487400,6313
18486511,18486672,chrY,RNU1-48P,chrY:18486511-18486672,161
18490915,18494295,chrY,USP9YP5,chrY:18490915-18494295,3380
18508577,18509068,chrY,XKRYP1,chrY:18508577-18509068,491
18529358,18529623,chrY,PRYP5,chrY:18529358-18529623,265
18532326,18532656,chrY,ELOCP7,chrY:18532326-18532656,330
18540980,18544128,chrY,USP9YP1,chrY:18540980-18544128,3148
18578417,18578560,chrY,GPM6BP1,chrY:18578417-18578560,143
18581206,18590521,chrY,TTTY9B,chrY:18581206-18590521,9315
18582063,18629077,chrY,OFD1P5Y,chrY:18582063-18629077,47014
18649671,18650279,chrY,RAB9AP4,chrY:18649671-18650279,608
18655520,18656190,chrY,TRAPPC2P7,chrY:18655520-18656190,670
18772706,19077416,chrY,TTTY14,chrY:18772706-19077416,304710
19703865,19744939,chrY,KDM5D,chrY:19703865-19744939,41074
18546691,18588963,chrY,HSFY1,chrY:18546691-18588963,42272
3579067,3580041,chrY,TGIF2LY,chrY:3579067-3580041,974
22168542,22182982,chrY,RBMY1F,chrY:22168542-22182982,14440
18025787,18027746,chrY,CDY2A,chrY:18025787-18027746,1959
23049247,23051195,chrY,ZNF736P3Y,chrY:23049247-23051195,1948
23058030,23059186,chrY,TRIM60P9Y,chrY:23058030-23059186,1156
7273972,7381548,chrY,PRKY,chrY:7273972-7381548,107576
7324297,7324595,chrY,RN7SKP282,chrY:7324297-7324595,298
7341531,7341642,chrY,Y_RNA,chrY:7341531-7341642,111
7378672,7378779,chrY,RNU6-941P,chrY:7378672-7378779,107
7423054,7423158,chrY,RNU6-521P,chrY:7423054-7423158,104
24045229,24048019,chrY,CDY1B,chrY:24045229-24048019,2790
6718962,6719180,chrY,SRIP3,chrY:6718962-6719180,218
6837707,6838252,chrY,GOT2P5,chrY:6837707-6838252,545
