"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","segment_id","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","RPMI8226_1_3b","JJN3_1_3b","OPM_4_1","MM1R_1_2","OPM_2_1","OPM_3_3","JJN3_4_2b","OPM_4_3","RPMI8226_4_1b","MM1R_3_1","MM1R_2_2","RPMI8226_2_3b","JJN3_2_2b","JJN3_3_3b","RPMI8226_3_2b","MM1R_4_2","type","description"
"432","ACAA2","chr18",49996986,49998943,1958,"*",24589045,24589064,"R","chr18:49996986-49998943","19CpGs","1957bp",0.217,0.907,0.691,0.644,0.609,0.0102,"U","chr18:49996986-49998943",-183033,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"433","ACAA2","chr18",49738894,49739292,399,"*",24586357,24586362,"R","chr18:49738894-49739292","5CpGs","398bp",0.303,1,0.697,0.682,0.667,0.00189,"U","chr18:49738894-49739292",74661,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"434","ACAA2","chr18",49960329,49962320,1992,"*",24588702,24588719,"R","chr18:49960329-49962320","17CpGs","1991bp",0.069,0.771,0.702,0.657,0.622,0.00976,"U","chr18:49960329-49962320",-146376,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"435","ACAA2","chr18",49986668,49988317,1650,"*",24588955,24588970,"R","chr18:49986668-49988317","15CpGs","1649bp",0.117,0.708,0.591,0.491,0.44,0.0336,"U","chr18:49986668-49988317",-172715,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"436","ACAA2","chr18",49812405,49812676,272,"*",24587170,24587177,"R","chr18:49812405-49812676","7CpGs","271bp",0.0315,0.751,0.72,0.642,0.623,0.00993,"U","chr18:49812405-49812676",1277,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"437","ACAA2","chr18",50087184,50087398,215,"*",24589743,24589749,"R","chr18:50087184-50087398","6CpGs","214bp",0.492,0.963,0.471,0.39,0.343,0.0413,"U","chr18:50087184-50087398",-273231,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"438","ACAA2","chr18",49921738,49923696,1959,"*",24588364,24588382,"R","chr18:49921738-49923696","18CpGs","1958bp",0.0435,0.45,0.407,0.35,0.339,0.0165,"U","chr18:49921738-49923696",-107785,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"439","ACAA2","chr18",49972638,49974370,1733,"*",24588815,24588834,"R","chr18:49972638-49974370","19CpGs","1732bp",0.175,0.804,0.63,0.517,0.504,0.0297,"U","chr18:49972638-49974370",-158685,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"440","ACAA2","chr18",49950087,49951136,1050,"*",24588613,24588619,"R","chr18:49950087-49951136","6CpGs","1049bp",0,0.417,0.417,0.337,0.333,0.0377,"U","chr18:49950087-49951136",-136134,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"441","ACAA2","chr18",50063141,50065071,1931,"*",24589562,24589581,"R","chr18:50063141-50065071","19CpGs","1930bp",0.0972,0.868,0.77,0.63,0.608,0.0297,"U","chr18:50063141-50065071",-249188,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"442","ACAA2","chr18",50131123,50132206,1084,"*",24590101,24590104,"R","chr18:50131123-50132206","3CpGs","1083bp",0.3,0.958,0.658,0.569,0.517,0.026,"U","chr18:50131123-50132206",-317170,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"443","ACAA2","chr18",49788227,49788445,219,"*",24586903,24586906,"R","chr18:49788227-49788445","3CpGs","218bp",0.793,0.092,0.701,0.604,0.547,0.0272,"M","chr18:49788227-49788445",25508,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"444","ACAA2","chr18",49945088,49946844,1757,"*",24588566,24588580,"R","chr18:49945088-49946844","14CpGs","1756bp",0.173,0.808,0.635,0.577,0.522,0.0279,"U","chr18:49945088-49946844",-131135,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"445","ACAA2","chr18",49906803,49907821,1019,"*",24588210,24588218,"R","chr18:49906803-49907821","8CpGs","1018bp",0.0714,0.693,0.622,0.532,0.494,0.0209,"U","chr18:49906803-49907821",-92850,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"446","ACAA2","chr18",49908347,49910264,1918,"*",24588223,24588242,"R","chr18:49908347-49910264","19CpGs","1917bp",0.0769,0.617,0.54,0.414,0.387,0.0446,"U","chr18:49908347-49910264",-94394,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"447","ACAA2","chr18",49976607,49977465,859,"*",24588859,24588874,"R","chr18:49976607-49977465","15CpGs","858bp",0.0238,0.871,0.847,0.712,0.694,0.0233,"U","chr18:49976607-49977465",-162654,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"448","ACAA2","chr18",49928923,49930785,1863,"*",24588409,24588430,"R","chr18:49928923-49930785","21CpGs","1862bp",0.121,0.759,0.638,0.498,0.463,0.0391,"U","chr18:49928923-49930785",-114970,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"449","ACAA2","chr18",50155052,50156901,1850,"*",24590269,24590284,"R","chr18:50155052-50156901","15CpGs","1849bp",0.109,0.75,0.641,0.552,0.546,0.0202,"U","chr18:50155052-50156901",-341099,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"450","ACAA2","chr18",50095686,50097222,1537,"*",24589810,24589820,"R","chr18:50095686-50097222","10CpGs","1536bp",0.129,0.82,0.691,0.548,0.48,0.0457,"U","chr18:50095686-50097222",-281733,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"451","ACAA2","chr18",50161633,50163632,2000,"*",24590343,24590361,"R","chr18:50161633-50163632","18CpGs","1999bp",0.127,0.796,0.668,0.539,0.481,0.0379,"U","chr18:50161633-50163632",-347680,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"452","ACAA2","chr18",50118647,50118828,182,"*",24589982,24589995,"R","chr18:50118647-50118828","13CpGs","181bp",0.447,0.925,0.477,0.413,0.399,0.0154,"U","chr18:50118647-50118828",-304694,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"453","ACAA2","chr18",49984035,49986007,1973,"*",24588924,24588954,"R","chr18:49984035-49986007","30CpGs","1972bp",0.0941,0.732,0.638,0.504,0.474,0.0362,"U","chr18:49984035-49986007",-170082,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"454","ACAA2","chr18",50001646,50003259,1614,"*",24589096,24589119,"R","chr18:50001646-50003259","23CpGs","1613bp",0.0217,0.715,0.693,0.588,0.572,0.021,"U","chr18:50001646-50003259",-187693,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"455","ACAA2","chr18",50172237,50173616,1380,"*",24590417,24590433,"R","chr18:50172237-50173616","16CpGs","1379bp",0.135,0.812,0.678,0.607,0.592,0.00955,"U","chr18:50172237-50173616",-358284,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"456","ACAA2","chr18",50098995,50100094,1100,"*",24589828,24589835,"R","chr18:50098995-50100094","7CpGs","1099bp",0.02,0.775,0.755,0.721,0.71,0.00179,"U","chr18:50098995-50100094",-285042,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"457","ACAA2","chr18",50127191,50129058,1868,"*",24590061,24590082,"R","chr18:50127191-50129058","21CpGs","1867bp",0.0465,0.726,0.679,0.562,0.534,0.025,"U","chr18:50127191-50129058",-313238,"ENSG00000167315",2278.92401601298,1.3893009709965,0.253240420155388,2.58477986800156e-09,3.99481131453309e-08,3074.99163289134,3736.45718035088,686.699604912582,1793.40210139756,783.437144353437,778.645194383676,3853.10803389173,733.176851287364,3377.97653512732,1594.25957188534,1625.2638296467,3745.8022320306,3013.04680317506,3400.04494569061,2619.6591394948,1646.81345568862,"protein_coding","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
